seed,n,lambda,events,joint_entries,factored_entries,storage_ratio,oracle_utility,source_scheme,environment_index,evidence_stream,driver_reject_penalty,tracker,utility,max_tv,update_wallclock_s,wallclock,mean_update_us,p95_update_us,peak_mem_bytes,peak_mem,belief_entries,snapshots,assignments,served,driver_rejects,passenger_rejects,sampling_rng_seed
6,2,0.5,37,256,32,8.0,-49.71,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-57.95,2.8119251859378886e-16,0.0002538,0.0002538,6.85945945945946,8.919999999999995,256,256,32,31,37,3,31,3,130506
6,2,0.5,37,256,32,8.0,-49.71,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-61.690000000000005,2.8119251859378886e-16,0.0003837,0.0003837,10.37027027027027,15.899999999999972,2048,2048,256,31,37,3,33,1,240506
7,2,0.5,48,256,32,8.0,-45.53,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-54.54,3.3306690738754696e-16,0.000332,0.000332,6.916666666666667,9.629999999999999,256,256,32,37,48,8,34,6,130507
7,2,0.5,48,256,32,8.0,-45.53,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-51.71,3.3306690738754696e-16,0.000486,0.000486,10.125,16.014999999999997,2048,2048,256,37,48,9,34,5,240507
8,2,0.5,36,256,32,8.0,-55.4,closed-loop regeneration by fleet size,8,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-56.9,3.612561638721701e-16,0.0002443,0.0002443,6.786111111111111,9.95,256,256,32,30,37,4,32,1,130508
8,2,0.5,36,256,32,8.0,-55.4,closed-loop regeneration by fleet size,8,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-59.14,3.612561638721701e-16,0.000316,0.000316,8.777777777777779,11.875,2048,2048,256,30,37,3,32,2,240508
9,2,0.5,50,256,32,8.0,-30.01,closed-loop regeneration by fleet size,9,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-42.379999999999995,2.621586046536985e-16,0.000416,0.000416,8.32,12.199999999999994,256,256,32,38,50,13,35,2,130509
9,2,0.5,50,256,32,8.0,-30.01,closed-loop regeneration by fleet size,9,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-46.129999999999995,2.621586046536985e-16,0.0005339,0.0005339,10.677999999999999,22.154999999999987,2048,2048,256,38,50,13,37,0,240509
0,2,1.0,42,256,32,8.0,-27.34,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-42.07999999999999,4.970636506847387e-16,0.0002842,0.0002842,6.7666666666666675,8.584999999999999,256,256,32,31,42,11,30,1,131000
0,2,1.0,42,256,32,8.0,-27.34,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-40.99999999999999,4.970636506847387e-16,0.0004081,0.0004081,9.716666666666667,14.739999999999995,2048,2048,256,31,42,11,29,2,241000
1,2,1.0,44,256,32,8.0,-32.96,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-40.260000000000005,6.664061424721564e-16,0.0003839,0.0003839,8.725000000000001,18.91,256,256,32,37,44,11,30,3,131001
1,2,1.0,44,256,32,8.0,-32.96,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-44.53000000000001,6.664061424721564e-16,0.0006085,0.0006085,13.829545454545457,27.500000000000004,2048,2048,256,37,44,10,31,3,241001
2,2,1.0,27,256,32,8.0,53.29999999999999,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,factored,13.49,6.661338147750939e-16,0.0002517,0.0002517,9.322222222222221,13.45,256,256,32,20,27,17,6,4,131002
2,2,1.0,27,256,32,8.0,53.29999999999999,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,joint,21.199999999999996,6.661338147750939e-16,0.0002955,0.0002955,10.944444444444445,16.95,2048,2048,256,20,27,20,5,2,241002
3,2,1.0,42,256,32,8.0,-68.86,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-71.27000000000001,7.806942334832554e-16,0.0002788,0.0002788,6.638095238095239,8.889999999999999,256,256,32,35,42,3,36,3,131003
3,2,1.0,42,256,32,8.0,-68.86,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-73.11,7.806942334832554e-16,0.0003794,0.0003794,9.033333333333335,14.044999999999995,2048,2048,256,35,42,3,37,2,241003
4,2,1.0,42,256,32,8.0,-44.96,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-54.43,3.55862314312368e-16,0.0003045,0.0003045,7.25,10.839999999999995,256,256,32,33,42,8,30,4,131004
4,2,1.0,42,256,32,8.0,-44.96,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-54.43,3.55862314312368e-16,0.0004266,0.0004266,10.157142857142857,14.679999999999998,2048,2048,256,33,42,8,30,4,241004
5,2,1.0,37,256,32,8.0,-57.879999999999995,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-57.879999999999995,4.718600866526625e-16,0.0002931,0.0002931,7.9216216216216235,13.699999999999998,256,256,32,29,37,3,31,3,131005
5,2,1.0,37,256,32,8.0,-57.879999999999995,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-57.879999999999995,4.718600866526625e-16,0.0003848,0.0003848,10.4,17.29999999999999,2048,2048,256,29,37,3,31,3,241005
6,2,1.0,37,256,32,8.0,-49.71,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-55.03,2.8119251859378886e-16,0.0002646,0.0002646,7.151351351351352,9.999999999999998,256,256,32,31,37,4,30,3,131006
6,2,1.0,37,256,32,8.0,-49.71,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-53.64,2.8119251859378886e-16,0.0003688,0.0003688,9.967567567567567,14.959999999999997,2048,2048,256,31,37,5,30,2,241006
7,2,1.0,48,256,32,8.0,-78.25999999999999,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-78.25999999999999,3.3306690738754696e-16,0.0003673,0.0003673,7.652083333333333,11.9,256,256,32,37,48,2,40,6,131007
7,2,1.0,48,256,32,8.0,-78.25999999999999,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-85.57,3.3306690738754696e-16,0.0005764,0.0005764,12.008333333333335,19.485,2048,2048,256,37,48,1,43,4,241007
8,2,1.0,36,256,32,8.0,-55.4,closed-loop regeneration by fleet size,8,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-55.4,3.612561638721701e-16,0.000313,0.000313,8.694444444444446,18.625,256,256,32,30,37,4,31,2,131008
8,2,1.0,36,256,32,8.0,-55.4,closed-loop regeneration by fleet size,8,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-55.4,3.612561638721701e-16,0.0004357,0.0004357,12.102777777777778,27.475,2048,2048,256,30,37,4,31,2,241008
9,2,1.0,50,256,32,8.0,-79.38,closed-loop regeneration by fleet size,9,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-83.75999999999999,2.621586046536985e-16,0.0003619,0.0003619,7.2379999999999995,12.36999999999999,256,256,32,38,50,3,44,3,131009
9,2,1.0,50,256,32,8.0,-79.38,closed-loop regeneration by fleet size,9,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-79.38,2.621586046536985e-16,0.0005112,0.0005112,10.224,22.464999999999982,2048,2048,256,38,50,4,43,3,241009
0,3,0.0,59,4096,48,85.33333333333333,-9.399999999999999,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-19.430000000000003,9.545315926562381e-16,0.0004231,0.0004231,7.171186440677966,11.389999999999995,384,384,48,44,58,20,27,11,140000
0,3,0.0,59,4096,48,85.33333333333333,-9.399999999999999,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-12.100000000000001,9.545315926562381e-16,0.0016494,0.0016494,27.955932203389825,43.13,32768,32768,4096,44,58,22,25,11,250000
1,3,0.0,59,4096,48,85.33333333333333,-19.91,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-24.16,5.273572188268988e-16,0.0003674,0.0003674,6.227118644067797,7.86999999999999,384,384,48,39,58,18,27,13,140001
1,3,0.0,59,4096,48,85.33333333333333,-19.91,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-19.91,5.273572188268988e-16,0.0015536,0.0015536,26.332203389830504,33.30999999999998,32768,32768,4096,39,58,19,26,13,250001
2,3,0.0,42,4096,48,85.33333333333333,39.37,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,factored,39.37,1.4710455076283324e-15,0.0003119,0.0003119,7.426190476190475,10.474999999999998,384,384,48,28,43,28,7,8,140002
2,3,0.0,42,4096,48,85.33333333333333,39.37,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,joint,37.910000000000004,1.4710455076283324e-15,0.0012273,0.0012273,29.22142857142857,39.685,32768,32768,4096,28,43,28,7,8,250002
3,3,0.0,52,4096,48,85.33333333333333,-1.7100000000000015,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-2.690000000000002,1.3877787807814457e-15,0.0004215,0.0004215,8.10576923076923,23.119999999999987,384,384,48,38,53,24,24,5,140003
