model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_nll_true,live_score_parse_ok_rate,type_readout_parse_rate,type_estimate_flag,mean_llm_assignment_score,mean_structured_assignment_score
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom0,5,10.169893333333333,5.411729384868387,3.2837708575948916,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.6453333333333333,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom1,5,9.98327,5.740473589115719,3.169923466429922,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.2933333333333332,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_econ_bne,5,10.365079999999999,5.521932290001835,2.988078415515872,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.5333333333333334,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_joint_psrl,5,13.921006666666665,2.1149795277751005,2.1133869585099387,0.43675635003236024,0.8172348060397905,0.0,1.0,1.0,numeric_posterior,0.37720000000000004,2.0028980727718304
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_belief,5,10.502793333333333,5.185244836707685,2.9386483364281424,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.48,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_greedy,5,10.149093333333331,5.565417879328832,3.332715267788818,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.4599999999999997,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_psrl_verbal,5,12.141470000000002,3.720791624006823,3.2535792582904195,0.06666666666666667,0.4666666666666667,2.772588722239781,1.0,0.9583333333333333,verbal_point_estimate,0.0,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_map_greedy,5,12.530743333333332,2.8811189829916666,1.33407572626544,0.3675374672278727,0.7892737003787519,0.0,1.0,1.0,numeric_posterior,0.5634666666666666,2.1587208678426504
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact,5,13.202556666666666,2.5332653042576645,1.0932053627800955,0.43109422972746403,0.807411934052154,0.0,1.0,1.0,numeric_posterior,0.4982000000000001,1.886988649824292
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,13.887289999999998,1.6781555454267412,1.3845996287350957,0.2990065468131941,0.743652269406248,0.0,1.0,1.0,numeric_posterior,0.6233333333333333,1.969447644354127
Llama-4-Maverick-17B-128E-Instruct-FP8,live_psrl_notype,5,11.399673333333332,4.688722806140062,2.991105591290027,0.0625,0.5,0.0,0.975,1.0,numeric_posterior,0.4204,1.991654648101503
Llama-4-Maverick-17B-128E-Instruct-FP8,live_random,5,10.881516666666666,5.049232871349862,3.122742444750866,0.0625,0.5,2.772588722239781,1.0,1.0,no_type_estimate_floor_by_construction,0.0,0.0
gpt-5.4-mini-20260317,live_atom_adaptive_hedge,5,10.437276666666666,5.212789114093115,3.048634167332961,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.5266666666666666,0.0
gpt-5.4-mini-20260317,live_atom_tom0,5,10.344316666666666,5.387993706806218,2.9300582239006276,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,0.8066666666666666,0.0
gpt-5.4-mini-20260317,live_atom_tom1,5,10.584676666666667,5.033309207131967,3.115041750788868,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.5066666666666666,0.0
gpt-5.4-mini-20260317,live_econ_bne,5,10.368776666666665,5.40086298669913,3.2345972016595126,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.6200000000000003,0.0
gpt-5.4-mini-20260317,live_joint_psrl,5,13.921006666666665,2.1149795277751005,2.1133869585099383,0.4367563500323602,0.8172348060397905,0.0,1.0,1.0,numeric_posterior,1.0333333333333332,2.0028980727718304
gpt-5.4-mini-20260317,live_llm_belief,5,10.37139,5.3874319716760635,2.823983150601862,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.1666666666666667,0.0
gpt-5.4-mini-20260317,live_llm_greedy,5,10.950453333333332,5.2690088318942445,3.152909014445904,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,0.76,0.0
gpt-5.4-mini-20260317,live_llm_psrl_verbal,5,11.255086666666665,4.424303713083074,2.817383708969604,0.06666666666666667,0.5333333333333334,2.772588722239781,1.0,1.0,verbal_point_estimate,0.0,0.0
gpt-5.4-mini-20260317,live_map_greedy,5,12.530743333333332,2.8811189829916666,1.33407572626544,0.3675374672278727,0.7892737003787519,0.0,1.0,1.0,numeric_posterior,0.8266666666666665,2.1587208678426504
