n,m,turn,rho_action,scaled_information,mean_posterior_error,sem_posterior_error,observations
4,8,8,0.015992267610175137,0.1279381408814011,0.6449700433676986,0.00668896980075526,800
4,8,16,0.015992267610175137,0.2558762817628022,0.5300870712159528,0.0077750555471421835,800
4,8,32,0.015992267610175137,0.5117525635256044,0.3809488745578192,0.008972831189592198,800
4,8,64,0.015992267610175137,1.0235051270512088,0.2030432260242126,0.009022649303251841,800
4,8,128,0.015992267610175137,2.0470102541024175,0.051849910634614284,0.005127077872851768,800
4,8,256,0.015992267610175137,4.094020508204835,0.002487485315675879,0.0012825900778733548,800
4,8,512,0.015992267610175137,8.18804101640967,8.600519882231983e-08,4.775884402554709e-08,800
4,8,1024,0.015992267610175137,16.37608203281934,8.528580619504566e-14,8.516403224077055e-14,800
4,8,2000,0.015992267610175137,31.984535220350274,0.0,0.0,800
8,8,1,0.015992267610175137,0.015992267610175137,0.8146104039545903,0.0025590249075681053,1600
8,8,2,0.015992267610175137,0.031984535220350274,0.7732920695350174,0.0032727992700419943,1600
8,8,4,0.015992267610175137,0.06396907044070055,0.7159571090495902,0.003954175516366328,1600
8,8,8,0.015992267610175137,0.1279381408814011,0.63945495964162,0.004782012937634466,1600
8,8,16,0.015992267610175137,0.2558762817628022,0.5318159181422963,0.0054991186175464245,1600
8,8,32,0.015992267610175137,0.5117525635256044,0.37445391776789166,0.0062363527744969715,1600
8,8,64,0.015992267610175137,1.0235051270512088,0.1808215173406775,0.00569412766806489,1600
8,8,128,0.015992267610175137,2.0470102541024175,0.052447843461566154,0.0038269628386856614,1600
8,8,256,0.015992267610175137,4.094020508204835,0.004820755364052968,0.0011848302916347316,1600
8,8,512,0.015992267610175137,8.18804101640967,0.00010045797521863597,9.837374622781516e-05,1600
8,8,1024,0.015992267610175137,16.37608203281934,3.613130628021821e-13,3.6091014515106675e-13,1600
8,8,2000,0.015992267610175137,31.984535220350274,0.0,0.0,1600
16,8,1,0.015992267610175137,0.015992267610175137,0.8102823388011037,0.0018218759563401025,3200
16,8,2,0.015992267610175137,0.031984535220350274,0.7720318762424137,0.0022691310582575344,3200
16,8,4,0.015992267610175137,0.06396907044070055,0.7134147864263457,0.0027735952250932438,3200
16,8,8,0.015992267610175137,0.1279381408814011,0.6347787877460872,0.0032603213773236975,3200
16,8,16,0.015992267610175137,0.2558762817628022,0.521390436130939,0.0037571126295152563,3200
16,8,32,0.015992267610175137,0.5117525635256044,0.3732607162351678,0.004302683217724414,3200
16,8,64,0.015992267610175137,1.0235051270512088,0.19260449199800933,0.0043652311227473746,3200
16,8,128,0.015992267610175137,2.0470102541024175,0.05944476422299491,0.002933364563634004,3200
16,8,256,0.015992267610175137,4.094020508204835,0.005493841472772891,0.0009398565623839728,3200
16,8,512,0.015992267610175137,8.18804101640967,0.00020451876262761752,0.0001833001282952827,3200
