phase,n,m,H,checkpoint,rho_action,mean_cumulative_proxy,sem_cumulative_proxy,upper95_cumulative_proxy,finite_hellinger_bound,upper95_below_bound,observations
type_horizon,3,12,4,1024,0.0035047535997874135,178.2788262667316,3.653930685937411,185.44053041116894,1326.0077544059086,True,1500
type_horizon,3,12,4,2048,0.0035047535997874135,178.27882626677803,3.653930685940917,185.44053041122223,1326.0141350492413,True,1500
type_horizon,3,12,8,512,0.0035047535997874135,177.96756049099977,3.222069921769213,184.28281753766743,1328.0124949865578,True,1500
type_horizon,3,12,8,1024,0.0035047535997874135,177.96756049159976,3.2220699217806636,184.28281753828986,1328.0189203543234,True,1500
type_horizon,3,12,8,2048,0.0035047535997874135,177.96756049159976,3.2220699217806636,184.28281753828986,1328.018920358068,True,1500
type_horizon,3,16,1,512,0.0035047535997874135,162.2117161879766,2.130257798347096,166.3870214727369,512.0,True,1500
type_horizon,3,16,1,1024,0.0035047535997874135,181.9438804508238,3.168248427469361,188.15364736866374,1024.0,True,1500
type_horizon,3,16,1,2048,0.0035047535997874135,184.8217994753928,3.4342869028386778,191.5530018049566,1440.960898091449,True,1500
type_horizon,3,16,2,512,0.0035047535997874135,177.76640866671463,3.2092276319264763,184.0564948252905,1024.0,True,1500
type_horizon,3,16,2,1024,0.0035047535997874135,180.4849757882175,3.5505702642605703,187.4440935061682,1441.4384366643098,True,1500
type_horizon,3,16,2,2048,0.0035047535997874135,180.49426296004208,3.5530093760434234,187.45816133708718,1454.543298195527,True,1500
type_horizon,3,16,4,512,0.0035047535997874135,176.90250687688928,3.0772960055066534,182.93400704768231,1442.3951872985908,True,1500
type_horizon,3,16,4,1024,0.0035047535997874135,177.0154436047178,3.0844744865077867,183.06101359827306,1455.5459779523808,True,1500
type_horizon,3,16,4,2048,0.0035047535997874135,177.01544362921302,3.0844744882750135,183.06101362623204,1455.556024860051,True,1500
type_horizon,3,16,8,512,0.0035047535997874135,185.8238308615389,3.2847132708806144,192.2618688724649,1457.5583520833816,True,1500
