model,alpha,seed,algorithm,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,chosen_welfare,oracle_welfare,posterior_true_mass,true_types
analytic-mixed,2.0,40007,joint_psrl_coupled,19,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9089011019562492,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,20,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.911848776807479,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,21,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9147100038969579,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,22,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9174867567658163,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,23,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9201809935295239,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,24,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9227946592188713,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,25,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9253296851610766,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,26,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9277879873368158,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,27,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9301714644571808,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,28,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.932481996043733,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,29,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9347214406165298,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,30,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9368916340259679,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,31,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9389943879375663,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,32,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9410314884684713,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,33,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9430046949705009,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,34,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9449157389530627,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,35,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9467663231387814,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,36,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.948558120644567,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,37,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.950292774280915,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,38,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9519718959623765,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,39,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9535970662223069,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,40,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9551698338252096,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,41,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.956691715470207,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,42,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9581641955793959,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,43,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9595887261650864,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,44,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9609667267701568,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,45,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9622995844760056,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,46,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9635886539728247,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,47,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9648352576871622,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,48,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9660406859619884,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,49,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9672061972847154,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,50,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9683330185588601,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,51,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9694223454152744,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,52,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.970475342559084,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,53,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9714931441487107,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,54,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9724768542035562,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,55,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9734275470371384,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,56,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9743462677126696,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,57,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9752340325182605,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,58,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9760918294591132,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,59,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9769206187642542,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,60,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9777213334055156,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,61,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9784948796266456,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,62,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9792421374805764,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,63,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9799639613730291,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,64,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9806611806107709,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,65,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9813345999529749,3|0|1
analytic-mixed,2.0,40007,joint_psrl_coupled,66,0.0,0.3858082458630086,18,18,0.6013035351107648,0.6013035351107648,0.9819850001642572,3|0|1
