sweep,n,m,method,seeds,K,beta,rho_hat,final_regret_mean,final_regret_sem,median_burn_in_all_agents,burn_in_censored_seeds,median_agent_burn_in,storage_entries,storage_theoretical_bytes,storage_allocated_bytes,planner_ms_mean,planner_ms_sem,update_us_per_event_mean,update_us_per_event_sem,planner_feasible,joint_feasible,feasible,cap_rule
s2_library_n3,3,8,pact,10,50,0.25,0.005359387236888669,0.11067956349206369,0.037093049465701404,45.0,0,41.0,24,192,192,0.014837599999999998,0.0004155886913774261,1.8480666666666665,0.05934134574708088,True,True,True,none
s2_library_n3,3,8,pact_plus,10,50,0.25,0.005359387236888669,0.029587301587301607,0.020845811497825755,45.0,1,45.0,24,192,192,0.04364320000000001,0.000849109794081313,2.1594,0.0527704615491765,True,True,True,none
s2_library_n3,3,8,joint_psrl_uniform,10,50,0.25,0.005359387236888669,0.11067956349206369,0.037093049465701404,45.0,0,41.0,512,4096,4096,0.014837599999999998,0.0004155886913774261,7.991200080141425,0.12379760868399885,True,True,True,none
s2_library_n3,3,8,psrl_notype,10,50,0.25,0.005359387236888669,3.545717261904764,0.48665416063555766,nan,10,nan,24,192,192,0.0175732,0.0003639910197311051,0.0,0.0,True,True,True,none
s2_library_n3,3,16,oracle,10,50,0.25,0.0011696097542561734,0.0,0.0,nan,10,nan,0,0,0,0.0409,0.00047511627097152103,0.0,0.0,True,True,True,none
s2_library_n3,3,16,pact,10,50,0.25,0.0011696097542561734,0.1323356481481483,0.03690041912845785,nan,9,44.0,48,384,384,0.019574400000000002,0.0005350214061980888,1.9314666666666667,0.05992515304891487,True,True,True,none
s2_library_n3,3,16,pact_plus,10,50,0.25,0.0011696097542561734,0.03233333333333359,0.021709871453293433,nan,9,43.0,48,384,384,0.0433106,0.0008371104365889199,2.201666666666667,0.07186319389836879,True,True,True,none
s2_library_n3,3,16,joint_psrl_uniform,10,50,0.25,0.0011696097542561734,0.1323356481481483,0.03690041912845785,nan,9,44.0,4096,32768,32768,0.019574400000000002,0.0005350214061980888,11.946200431945423,0.2168005633443809,True,True,True,none
s2_library_n3,3,16,psrl_notype,10,50,0.25,0.0011696097542561734,3.0049356481481486,0.4151903539885978,nan,10,nan,48,384,384,0.0220062,0.00048041669780207903,0.0,0.0,True,True,True,none
s3_frontier_m16,2,16,oracle,10,50,0.25,0.0011696097542561734,0.0,0.0,nan,10,nan,0,0,0,0.029639999999999996,0.00048738474306809305,0.0,0.0,True,True,True,none
s3_frontier_m16,2,16,pact,10,50,0.25,0.0011696097542561734,0.09018888888888893,0.03645137921658997,nan,9,44.5,32,256,256,0.012531400000000002,0.0006508860525366737,2.9286999999999996,0.1324152189153528,True,True,True,none
s3_frontier_m16,2,16,pact_plus,10,50,0.25,0.0011696097542561734,0.008625925925925948,0.008625925925925947,nan,9,43.0,32,256,256,0.0276924,0.0005912781953434247,2.9718,0.11141901954258825,True,True,True,none
s3_frontier_m16,2,16,joint_psrl_uniform,10,50,0.25,0.0011696097542561734,0.09018888888888893,0.03645137921658997,nan,9,44.5,256,2048,2048,0.012531400000000002,0.0006508860525366737,7.545699772890657,0.10842399019550338,True,True,True,none
