config_id,config_label,domain,backbone,seed,method,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,objective_value,oracle_value,posterior_true_mass,true_types,n_agents,type_count,factored_storage,joint_storage
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,15,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.055250483758428386,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,16,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.059468666827149644,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,17,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.06380818735971448,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,18,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.06827039445365739,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,19,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.07285504578453415,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,20,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.07756046249717015,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,1,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,2,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,3,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,4,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,5,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,6,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,7,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,8,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,9,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,10,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,11,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,12,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,13,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,14,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,15,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,16,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,17,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,18,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,19,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,psrl_notype,20,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,1,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.28862310627809473,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,2,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.3226490111489672,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,3,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.35259082733703956,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,4,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.37940314072115655,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,5,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.40340100571553633,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,6,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.42469537640855776,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,7,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.44346507404348723,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,8,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.45999511923525893,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,9,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.4746275744952282,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,10,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.4877070330886716,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,11,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.49954575984841204,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,12,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5104084040901429,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,13,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5205095946052969,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,14,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5300182204897211,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,15,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5390643194403006,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,16,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5477463382407392,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,17,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5561377306251354,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,18,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5642925297970436,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,19,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5722498659120914,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,map_type_greedy,20,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5800375405964127,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,1,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,2,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,3,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,4,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,5,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,6,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,7,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,8,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,9,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,10,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,11,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,12,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,13,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,14,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,15,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,16,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,17,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,18,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,19,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,econ_bne,20,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,1,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,2,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,3,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,4,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,5,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,6,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,7,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,8,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,9,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,10,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,11,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,12,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,13,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,14,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,15,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,16,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,17,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,atom_tom1,18,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.00390625,3|2|2|0,4,4,16,256
