seed,n,lambda,events,joint_entries,factored_entries,storage_ratio,oracle_utility,source_scheme,environment_index,evidence_stream,driver_reject_penalty,tracker,utility,max_tv,update_wallclock_s,wallclock,mean_update_us,p95_update_us,peak_mem_bytes,peak_mem,belief_entries,snapshots,assignments,served,driver_rejects,passenger_rejects,sampling_rng_seed
10,8,0.5,61,4294967296,128,33554432.0,44.230000000000004,closed-loop regeneration by fleet size,10,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-0.1200000000000001,nan,0.0004746,0.0004746,7.780327868852458,14.0,1024,1024,128,41,61,27,25,9,190510
11,8,0.5,51,4294967296,128,33554432.0,70.51,closed-loop regeneration by fleet size,11,nearest-policy saved assignment events; identical order across trackers,2.0,factored,35.72999999999999,nan,0.0004025,0.0004025,7.892156862745099,14.75,1024,1024,128,34,51,35,12,4,190511
12,8,0.5,66,4294967296,128,33554432.0,46.690000000000005,closed-loop regeneration by fleet size,12,nearest-policy saved assignment events; identical order across trackers,2.0,factored,13.589999999999996,nan,0.0004574,0.0004574,6.93030303030303,10.925,1024,1024,128,39,66,33,20,13,190512
13,8,0.5,41,4294967296,128,33554432.0,68.29999999999998,closed-loop regeneration by fleet size,13,nearest-policy saved assignment events; identical order across trackers,2.0,factored,36.18999999999999,nan,0.0004058,0.0004058,9.897560975609757,19.2,1024,1024,128,22,41,26,7,8,190513
14,8,0.5,87,4294967296,128,33554432.0,-23.44,closed-loop regeneration by fleet size,14,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-60.690000000000005,nan,0.0010958,0.0010958,12.595402298850576,24.76,1024,1024,128,47,84,24,51,9,190514
15,8,0.5,79,4294967296,128,33554432.0,9.52,closed-loop regeneration by fleet size,15,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-21.889999999999997,nan,0.0006801,0.0006801,8.60886075949367,15.12,1024,1024,128,44,80,32,40,8,190515
16,8,0.5,55,4294967296,128,33554432.0,52.39000000000001,closed-loop regeneration by fleet size,16,nearest-policy saved assignment events; identical order across trackers,2.0,factored,5.579999999999998,nan,0.0006502,0.0006502,11.82181818181818,22.879999999999992,1024,1024,128,36,55,27,22,6,190516
17,8,0.5,65,4294967296,128,33554432.0,56.920000000000016,closed-loop regeneration by fleet size,17,nearest-policy saved assignment events; identical order across trackers,2.0,factored,16.130000000000003,nan,0.0005891,0.0005891,9.063076923076922,16.939999999999994,1024,1024,128,42,65,31,16,18,190517
18,8,0.5,64,4294967296,128,33554432.0,53.73999999999998,closed-loop regeneration by fleet size,18,nearest-policy saved assignment events; identical order across trackers,2.0,factored,15.589999999999996,nan,0.0004449,0.0004449,6.9515625,12.969999999999999,1024,1024,128,42,64,29,20,15,190518
19,8,0.5,64,4294967296,128,33554432.0,45.300000000000004,closed-loop regeneration by fleet size,19,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-12.52,nan,0.0005259,0.0005259,8.2171875,15.919999999999995,1024,1024,128,42,64,25,27,12,190519
