model,alpha,seed,algorithm,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,chosen_welfare,oracle_welfare,posterior_true_mass,true_types
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,14,0.0,1.85,13,13,2.85,2.85,0.9999999999020752,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,15,0.0,1.85,13,13,2.85,2.85,0.9999999999831114,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,16,0.0,1.85,13,13,2.85,2.85,0.9999999999970838,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,17,0.0,1.85,13,13,2.85,2.85,0.999999999999493,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,18,0.0,1.85,13,13,2.85,2.85,0.9999999999999083,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,19,0.0,1.85,13,13,2.85,2.85,0.9999999999999799,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,20,0.0,1.85,13,13,2.85,2.85,0.9999999999999925,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,21,0.0,1.85,13,13,2.85,2.85,0.9999999999999946,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,22,0.0,1.85,13,13,2.85,2.85,0.9999999999999948,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,23,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,24,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,25,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,26,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,27,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,28,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,29,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,30,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,31,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,32,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
