model,method,beta,couple_lambda,episodes,final_mean_cumulative_reward,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_cumulative_exploration_cost,final_mean_cumulative_message_cost,final_mean_cumulative_total_information_cost,live_calls,live_parse_ok_rate
gpt-5.4-mini-20260317,live_llm_belief,0.0,0.0,5,2.9193733333333336,0.0625,0.5,3.2846970833333335,0.0,3.2846970833333335,40,1.0
gpt-5.4-mini-20260317,live_llm_greedy,0.0,0.0,5,3.6783233333333327,0.0625,0.5,2.867084166666667,0.0,2.867084166666667,40,1.0
gpt-5.4-mini-20260317,map_greedy,0.0,0.0,5,6.35796,0.41839318256503655,0.8165915971699385,0.49315291666666655,0.0,0.49315291666666655,0,
gpt-5.4-mini-20260317,oracle,0.0,0.0,5,7.34346,1.0,1.0,0.0,0.0,0.0,0,
gpt-5.4-mini-20260317,pact,0.0,0.0,5,6.60582,0.535542890565715,0.8562880545496798,0.704025,0.0,0.704025,0,
gpt-5.4-mini-20260317,pact_message,0.0,0.0,5,6.60582,0.5322708720751781,0.8530192681981348,0.6543141666666668,0.24,0.8943141666666667,0,
gpt-5.4-mini-20260317,pact_plus,0.0,0.0,5,6.60582,0.535542890565715,0.8562880545496798,0.704025,0.0,0.704025,0,
gpt-5.4-mini-20260317,pact_plus,0.1,0.0,5,6.591510000000001,0.5116926157458084,0.8594871979955135,0.49460458333333346,0.0,0.49460458333333346,0,
gpt-5.4-mini-20260317,pact_plus,0.25,0.0,5,5.43492,0.5332583740819085,0.861540195357269,1.2783020833333336,0.0,1.2783020833333336,0,
gpt-5.4-mini-20260317,pact_plus,0.5,0.0,5,4.82728,0.4432717897388952,0.8092728432179002,2.28181625,0.0,2.28181625,0,
gpt-5.4-mini-20260317,psrl_notype,0.0,0.0,5,6.121696666666667,0.0625,0.5,0.5004379166666667,0.0,0.5004379166666667,0,
gpt-5.4-mini-20260317,random,0.0,0.0,5,3.133906666666666,0.0625,0.5,3.5472195833333338,0.0,3.5472195833333338,0,
