n,m,H,seed,mean_restricted_agent_first_episode,all_agent_restricted_first_episode,censored_agents,mean_error_final_preupdate,mean_proxy_half,mean_proxy_end,unique_actions,rho_global
3,8,1,50110,584.6666666666666,1338.0,0,0.0,416.03755527572133,416.03755545367727,1,0.0011696097542561734
3,8,1,50111,214.33333333333334,263.0,0,0.0,121.88634379856437,121.88634386521774,1,0.0011696097542561734
3,8,1,50112,54.0,82.0,0,0.0,28.839725797450427,28.839726594462196,1,0.0011696097542561734
3,8,1,50113,217.33333333333334,237.0,0,0.0,120.15275641338859,120.15276041381418,1,0.0011696097542561734
3,8,1,50114,249.66666666666666,395.0,0,0.0,145.53568334339212,145.53568334409536,1,0.0011696097542561734
3,8,1,50115,340.0,439.0,0,0.0,171.489098588522,171.48909859699037,1,0.0011696097542561734
3,8,1,50116,185.66666666666666,240.0,0,0.0,113.82503140624978,113.82503144428067,1,0.0011696097542561734
3,8,1,50117,272.3333333333333,366.0,0,0.0,124.66753087823797,124.66753117222841,1,0.0011696097542561734
3,8,1,50118,246.33333333333334,273.0,0,0.0,127.8886408953055,127.88864100134843,1,0.0011696097542561734
3,8,1,50119,658.0,1546.0,0,0.0,473.30093588173554,473.3020606111748,1,0.0011696097542561734
3,8,1,50120,447.6666666666667,934.0,0,0.0,309.2768574770471,309.2769809066703,1,0.0011696097542561734
3,8,1,50121,294.0,321.0,0,0.0,207.6328462217109,207.632850930925,1,0.0011696097542561734
3,8,1,50122,227.0,338.0,0,1.2582527612418441e-15,117.56489358353748,117.56492621470396,1,0.0011696097542561734
3,8,1,50123,170.33333333333334,231.0,0,0.0,93.27691551077511,93.27691551170558,1,0.0011696097542561734
3,8,1,50124,183.0,239.0,0,0.0,88.87420898132973,88.87421098503467,1,0.0011696097542561734
3,8,1,50125,287.0,347.0,0,5.8471745963591575e-15,171.36591700063295,171.36592936598277,1,0.0011696097542561734
3,8,1,50126,373.0,596.0,0,0.0,168.86016800623213,168.86016800640064,1,0.0011696097542561734
3,8,1,50127,182.66666666666666,222.0,0,0.0,108.54366303100358,108.54366336811404,1,0.0011696097542561734
3,8,1,50128,241.0,272.0,0,0.0,149.33578874333782,149.33581982525547,1,0.0011696097542561734
3,8,1,50129,382.3333333333333,502.0,0,0.0,188.7305849863171,188.73058498992577,1,0.0011696097542561734
3,8,1,50130,418.3333333333333,674.0,0,0.0,233.33560068177576,233.33560068296404,1,0.0011696097542561734
