cell,gap,target_information,turns,batch,mean_root_lr
1,1,0.5,142,5,0.6093392307302697
1,1,0.5,142,6,0.6315040108078944
1,1,0.5,142,7,0.5833597534995211
1,1,0.5,142,8,0.6035011906250382
1,1,0.5,142,9,0.592485225747378
1,1,0.5,142,10,0.6160939980317596
1,1,0.5,142,11,0.6338685863136251
1,1,0.5,142,12,0.5824302964995179
1,1,0.5,142,13,0.6163614878172199
1,1,0.5,142,14,0.6275404551562622
1,1,0.5,142,15,0.6926453376602028
1,1,0.5,142,16,0.6681390672731397
1,1,0.5,142,17,0.6311571445077934
1,1,0.5,142,18,0.6003262016941665
1,1,0.5,142,19,0.6067964419574707
1,1,0.5,142,20,0.5778790410689947
1,1,0.5,142,21,0.6242571818468327
1,1,0.5,142,22,0.5990335564535164
1,1,0.5,142,23,0.6251788652408427
1,1,0.5,142,24,0.621824843740838
1,1,0.5,142,25,0.5835298103765734
1,1,0.5,142,26,0.6229157622964211
1,1,0.5,142,27,0.5931614472186479
1,1,0.5,142,28,0.618221865505101
1,1,0.5,142,29,0.6004543966208725
1,1,0.5,142,30,0.6095965642384521
1,1,0.5,142,31,0.6026070466125882
1,1,0.5,142,32,0.6471741209308207
1,1,0.5,142,33,0.6261449606638619
1,1,0.5,142,34,0.6198057425500507
1,1,0.5,142,35,0.6016557150452475
1,1,0.5,142,36,0.5725151113498177
1,1,0.5,142,37,0.5912379561444531
1,1,0.5,142,38,0.6335093946143794
1,1,0.5,142,39,0.5858034204793087
1,1,0.5,142,40,0.6150439692146331
1,1,0.5,142,41,0.6233264465553394
1,1,0.5,142,42,0.6058087798151314
1,1,0.5,142,43,0.6225196669435722
1,1,0.5,142,44,0.5902184946708792
1,1,0.5,142,45,0.5982492051906512
1,1,0.5,142,46,0.6370565498610862
1,1,0.5,142,47,0.6025031569892524
1,1,0.5,142,48,0.6211877435425013
1,1,0.5,142,49,0.5996908961866727
1,1,0.5,142,50,0.6076962726714615
1,1,0.5,142,51,0.6260287505570996
1,1,0.5,142,52,0.5940031124886563
1,1,0.5,142,53,0.5906575505947191
1,1,0.5,142,54,0.5945956406664182
1,1,0.5,142,55,0.5814916798982225
1,1,0.5,142,56,0.5914632840910892
1,1,0.5,142,57,0.6163946118426923
1,1,0.5,142,58,0.5850356692441896
1,1,0.5,142,59,0.62535880240112
1,1,0.5,142,60,0.637464110538078
1,1,0.5,142,61,0.569861842951127
1,1,0.5,142,62,0.6519084473512932
1,1,0.5,142,63,0.5937802511027096
1,1,0.5,142,64,0.6295464396363323
1,1,0.5,142,65,0.5897577075078462
1,1,0.5,142,66,0.5913057848249353
1,1,0.5,142,67,0.587265270165775
1,1,0.5,142,68,0.6053826491642127
1,1,0.5,142,69,0.605408773819717
1,1,0.5,142,70,0.6024176459050855
1,1,0.5,142,71,0.6005528865300318
1,1,0.5,142,72,0.6064832166389419
1,1,0.5,142,73,0.6379768512309318
1,1,0.5,142,74,0.6369933560154714
1,1,0.5,142,75,0.6207988712439415
1,1,0.5,142,76,0.6012288731594105
1,1,0.5,142,77,0.6231664743613475
1,1,0.5,142,78,0.6278619843359511
1,1,0.5,142,79,0.5980964298337742
1,1,0.5,142,80,0.6160485511545004
1,1,0.5,142,81,0.6549374027454037
1,1,0.5,142,82,0.6206096401085922
1,1,0.5,142,83,0.609309527293016
1,1,0.5,142,84,0.5856921999789789
1,1,0.5,142,85,0.6265268167870495
1,1,0.5,142,86,0.6299330147935522
1,1,0.5,142,87,0.6209210001538069
1,1,0.5,142,88,0.6348898102833924
1,1,0.5,142,89,0.6048029808416324
1,1,0.5,142,90,0.5815137406373891
1,1,0.5,142,91,0.5626296123572561
1,1,0.5,142,92,0.6157423876167002
1,1,0.5,142,93,0.5854835416148314
1,1,0.5,142,94,0.5930019221549047
1,1,0.5,142,95,0.6177613097372905
1,1,0.5,142,96,0.6725592012295366
1,1,0.5,142,97,0.5893283849430411
1,1,0.5,142,98,0.6026055948774165
1,1,0.5,142,99,0.6233607681550242
1,1,0.5,142,100,0.6172674876789255
1,1,0.5,142,101,0.5587298199335315
1,1,0.5,142,102,0.5796402644326297
1,1,0.5,142,103,0.5985538867323955
1,1,0.5,142,104,0.5998660464411151
1,1,0.5,142,105,0.5847926098359515
1,1,0.5,142,106,0.6300238517140622
1,1,0.5,142,107,0.5686499386921864
1,1,0.5,142,108,0.5926831135296343
1,1,0.5,142,109,0.597024250607468
1,1,0.5,142,110,0.5729974829685409
1,1,0.5,142,111,0.6311054740962887
1,1,0.5,142,112,0.5894474766103426
1,1,0.5,142,113,0.5945852220952572
1,1,0.5,142,114,0.6412408309860524
1,1,0.5,142,115,0.6197210748661548
1,1,0.5,142,116,0.5784132179448381
1,1,0.5,142,117,0.6109933665912204
1,1,0.5,142,118,0.6049877530872345
1,1,0.5,142,119,0.6414541860574832
1,1,0.5,142,120,0.6103760893592718
1,1,0.5,142,121,0.6145242158639507
1,1,0.5,142,122,0.6138004253489427
1,1,0.5,142,123,0.6144649051268569
1,1,0.5,142,124,0.6161195609824204
1,1,0.5,142,125,0.6295497821536814
1,1,0.5,142,126,0.6196154494693362
1,1,0.5,142,127,0.6338756032697362
1,1,0.5,142,128,0.6076405192430413
1,1,0.5,142,129,0.5764041810325246
1,1,0.5,142,130,0.6246780715375785
1,1,0.5,142,131,0.5816957278403814
1,1,0.5,142,132,0.5960184548568681
1,1,0.5,142,133,0.5956329613442128
1,1,0.5,142,134,0.6066553227639604
1,1,0.5,142,135,0.6029289860668983
1,1,0.5,142,136,0.5319011643420413
1,1,0.5,142,137,0.6159025344198087
1,1,0.5,142,138,0.6257719023536777
1,1,0.5,142,139,0.6123958112038701
1,1,0.5,142,140,0.6036824364225134
1,1,0.5,142,141,0.5976974818992644
1,1,0.5,142,142,0.6480127860588204
1,1,0.5,142,143,0.6390371580033486
1,1,0.5,142,144,0.5933271049647133
1,1,0.5,142,145,0.5959266656197969
1,1,0.5,142,146,0.6311409384775525
1,1,0.5,142,147,0.6218807609916955
1,1,0.5,142,148,0.6764094917929243
1,1,0.5,142,149,0.6030275327734983
1,1,0.5,142,150,0.5880465514788165
1,1,0.5,142,151,0.5676705860672503
1,1,0.5,142,152,0.6020739466364898
1,1,0.5,142,153,0.6031866894586673
1,1,0.5,142,154,0.585031651318105
1,1,0.5,142,155,0.5995292659449476
1,1,0.5,142,156,0.6019093738764986
1,1,0.5,142,157,0.6136669307187433
1,1,0.5,142,158,0.6411048997012975
1,1,0.5,142,159,0.6607485389179858
1,1,0.5,142,160,0.6020354335104104
1,1,0.5,142,161,0.6192135974510075
1,1,0.5,142,162,0.6126388511326211
1,1,0.5,142,163,0.6024456620008621
1,1,0.5,142,164,0.6738404641978646
1,1,0.5,142,165,0.5908262329307088
1,1,0.5,142,166,0.5880124470870248
