phase,n,m,H,rho_action,rho_global,predictor_per_agent,predictor_all_agent,predictor_original_linear_n,restricted_mean_per_agent_episode,restricted_mean_all_agent_episode,median_per_agent_episode,median_all_agent_episode,censored_agents,censoring_fraction_agents,censored_seeds,censoring_fraction_seeds,mean_final_true_mass
type_horizon,3,8,8,0.0035047535997874135,0.0011696097542561734,111.24756076678798,150.43049679168956,296.66016204476796,35.39533333333333,52.372,30.0,45.0,0,0.0,0,0.0,1.0
type_horizon,3,12,1,0.0035047535997874135,0.0011696097542561734,1063.5155563883548,1376.9790445875674,2836.0414837022795,290.22,413.446,247.0,360.0,0,0.0,0,0.0,0.9999649645045644
type_horizon,3,12,2,0.0035047535997874135,0.0011696097542561734,531.7577781941774,688.4895222937837,1418.0207418511397,144.45666666666668,209.238,121.0,174.0,0,0.0,0,0.0,0.9999999999999609
type_horizon,3,12,4,0.0035047535997874135,0.0011696097542561734,265.8788890970887,344.24476114689185,709.0103709255699,74.05466666666666,108.692,63.0,94.0,0,0.0,0,0.0,1.0
type_horizon,3,12,8,0.0035047535997874135,0.0011696097542561734,132.93944454854434,172.12238057344592,354.50518546278494,37.456,53.38,32.0,46.0,0,0.0,0,0.0,1.0
type_horizon,3,16,1,0.0035047535997874135,0.0011696097542561734,1186.6406481790718,1500.1041363782845,3164.3750618108584,299.46866666666665,427.542,247.0,367.5,0,0.0,0,0.0,0.9996427910331807
type_horizon,3,16,2,0.0035047535997874135,0.0011696097542561734,593.3203240895359,750.0520681891422,1582.1875309054292,148.352,214.444,123.0,176.0,0,0.0,0,0.0,0.9999999999993034
type_horizon,3,16,4,0.0035047535997874135,0.0011696097542561734,296.66016204476796,375.0260340945711,791.0937654527146,74.06333333333333,105.29,62.0,91.0,0,0.0,0,0.0,1.0
type_horizon,3,16,8,0.0035047535997874135,0.0011696097542561734,148.33008102238398,187.51301704728556,395.5468827263573,39.148666666666664,55.894,32.0,49.0,0,0.0,0,0.0,1.0
population,2,8,4,0.0035047535997874135,0.0011696097542561734,222.49512153357597,271.93848187437067,444.9902430671519,73.488,95.376,61.0,81.5,0,0.0,0,0.0,1.0
population,4,8,4,0.0035047535997874135,0.0011696097542561734,222.49512153357597,321.38184221516525,741.6504051119199,69.5585,113.202,60.0,98.5,0,0.0,0,0.0,1.0
population,8,8,4,0.0035047535997874135,0.0011696097542561734,222.49512153357597,370.82520255595995,1334.9707292014557,70.8795,143.104,60.0,128.0,0,0.0,0,0.0,1.0
population,16,8,4,0.0035047535997874135,0.0011696097542561734,222.49512153357597,420.2685628967546,2521.6113773805273,70.682375,174.528,60.0,162.5,0,0.0,0,0.0,1.0
population,32,8,4,0.0035047535997874135,0.0011696097542561734,222.49512153357597,469.7119232375493,4894.892673738672,70.667375,207.176,60.0,194.0,0,0.0,0,0.0,1.0
population,64,8,4,0.0035047535997874135,0.0011696097542561734,222.49512153357597,519.155283578344,9641.45526645496,70.442875,235.894,60.0,222.5,0,0.0,0,0.0,1.0
