backbone,round,mean_true_mass,sem
Kimi_K2_6_live,15,0.8484166669583444,0.056799139333766
Kimi_K2_6_live,16,0.8506164589937715,0.05697470292967743
Kimi_K2_6_live,17,0.8524966957350435,0.05715270166931462
Kimi_K2_6_live,18,0.8540973432653042,0.05732398390345725
Kimi_K2_6_live,19,0.8554558650762232,0.057483165206172714
Kimi_K2_6_live,20,0.8566064671128423,0.057627537050370735
Llama_4_Maverick_17B_128E_Instruct_FP8_live,1,0.44739730192241045,0.06758693071860696
Llama_4_Maverick_17B_128E_Instruct_FP8_live,2,0.5583440597076285,0.06926761352079401
Llama_4_Maverick_17B_128E_Instruct_FP8_live,3,0.6046420738339247,0.0655061317475976
Llama_4_Maverick_17B_128E_Instruct_FP8_live,4,0.7012244091962729,0.06007079856987328
Llama_4_Maverick_17B_128E_Instruct_FP8_live,5,0.7588885146118789,0.04844733053827647
Llama_4_Maverick_17B_128E_Instruct_FP8_live,6,0.7839118344106375,0.044618100358957094
Llama_4_Maverick_17B_128E_Instruct_FP8_live,7,0.8055110188447336,0.04212089301421467
Llama_4_Maverick_17B_128E_Instruct_FP8_live,8,0.8248245637573532,0.03928858907187392
Llama_4_Maverick_17B_128E_Instruct_FP8_live,9,0.842127978606824,0.03706058252907376
Llama_4_Maverick_17B_128E_Instruct_FP8_live,10,0.8575269717065442,0.035409816734808246
Llama_4_Maverick_17B_128E_Instruct_FP8_live,11,0.871117899511664,0.03427442588969156
Llama_4_Maverick_17B_128E_Instruct_FP8_live,12,0.8830095377359327,0.03356823216223674
Llama_4_Maverick_17B_128E_Instruct_FP8_live,13,0.9032562960186907,0.03377321000153344
Llama_4_Maverick_17B_128E_Instruct_FP8_live,14,0.9105993782007852,0.03361705947395948
Llama_4_Maverick_17B_128E_Instruct_FP8_live,15,0.9678907275317209,0.010485264754670843
Llama_4_Maverick_17B_128E_Instruct_FP8_live,16,0.973207355546944,0.008769710512695417
Llama_4_Maverick_17B_128E_Instruct_FP8_live,17,0.9776959546347176,0.007315033095058366
Llama_4_Maverick_17B_128E_Instruct_FP8_live,18,0.981469414070869,0.006087634605323042
Llama_4_Maverick_17B_128E_Instruct_FP8_live,19,0.9846302415259188,0.005056341197688341
Llama_4_Maverick_17B_128E_Instruct_FP8_live,20,0.9872698411734019,0.004192889207793911
gpt_5_4_nano_20260317_live,1,0.6499316318619406,0.07835485257824035
gpt_5_4_nano_20260317_live,2,0.8639882002545818,0.05666232069309575
gpt_5_4_nano_20260317_live,3,0.9406388134528021,0.032017050351597895
gpt_5_4_nano_20260317_live,4,0.9516868698178699,0.03005259820686736
gpt_5_4_nano_20260317_live,5,0.965121723881888,0.02816055973758734
gpt_5_4_nano_20260317_live,6,0.9654708305288283,0.028061390720280296
gpt_5_4_nano_20260317_live,7,0.9656749206584939,0.028044046991462054
gpt_5_4_nano_20260317_live,8,0.9658371335735754,0.028045041187410802
gpt_5_4_nano_20260317_live,9,0.9659771758366612,0.028050021764949695
gpt_5_4_nano_20260317_live,10,0.9661004791560914,0.02805573814467819
gpt_5_4_nano_20260317_live,11,0.9662095242313562,0.0280614081468781
gpt_5_4_nano_20260317_live,12,0.9663060355674128,0.028066813996143768
gpt_5_4_nano_20260317_live,13,0.9663914488972157,0.028071881195959162
gpt_5_4_nano_20260317_live,14,0.9664670229118542,0.02807658163773551
gpt_5_4_nano_20260317_live,15,0.9665338746238857,0.028080908283134483
gpt_5_4_nano_20260317_live,16,0.9665929974421151,0.02808486636549443
gpt_5_4_nano_20260317_live,17,0.9666452746487777,0.028088468971234442
gpt_5_4_nano_20260317_live,18,0.9666914910456611,0.028091734197870047
gpt_5_4_nano_20260317_live,19,0.966732343406269,0.028094683141334394
gpt_5_4_nano_20260317_live,20,0.9667684499178989,0.02809733843936407
