backbone,round,mean_true_mass,sem
Kimi_K2_6,14,0.9189525329246269,0.04490202960577458
Kimi_K2_6,15,0.920218945160355,0.04478204235757867
Kimi_K2_6,16,0.9213805384225446,0.044695226137833034
Kimi_K2_6,17,0.9224436288452627,0.044635485301869525
Kimi_K2_6,18,0.9234143935784078,0.04459744537590683
Kimi_K2_6,19,0.9242990016037304,0.04457647725624344
Kimi_K2_6,20,0.9251036021892356,0.044568672487401394
Llama_4_Maverick_17B_128E_Instruct_FP8,1,0.4701089781545672,0.06562431927873708
Llama_4_Maverick_17B_128E_Instruct_FP8,2,0.5728829869364727,0.06737001517778116
Llama_4_Maverick_17B_128E_Instruct_FP8,3,0.616593968504196,0.06364754812009528
Llama_4_Maverick_17B_128E_Instruct_FP8,4,0.6909084989966559,0.06146571636565962
Llama_4_Maverick_17B_128E_Instruct_FP8,5,0.7185103166567336,0.05833764398911334
Llama_4_Maverick_17B_128E_Instruct_FP8,6,0.742048645632733,0.05578419620903956
Llama_4_Maverick_17B_128E_Instruct_FP8,7,0.7626486332663127,0.05373960512712935
Llama_4_Maverick_17B_128E_Instruct_FP8,8,0.8655930760666806,0.043100987732469134
Llama_4_Maverick_17B_128E_Instruct_FP8,9,0.8789754348378995,0.04027540847469328
Llama_4_Maverick_17B_128E_Instruct_FP8,10,0.89093508664227,0.037987899757773
Llama_4_Maverick_17B_128E_Instruct_FP8,11,0.9015493192797943,0.03620885330415317
Llama_4_Maverick_17B_128E_Instruct_FP8,12,0.9108930723441148,0.034884487413266954
Llama_4_Maverick_17B_128E_Instruct_FP8,13,0.919050795627454,0.03394464442835871
Llama_4_Maverick_17B_128E_Instruct_FP8,14,0.9261178075209183,0.03331300571812195
Llama_4_Maverick_17B_128E_Instruct_FP8,15,0.9321970432994594,0.03291624536751688
Llama_4_Maverick_17B_128E_Instruct_FP8,16,0.9373944253262999,0.032690157388850026
Llama_4_Maverick_17B_128E_Instruct_FP8,17,0.9418144757374372,0.03258243918342309
Llama_4_Maverick_17B_128E_Instruct_FP8,18,0.9455568547885599,0.03255287658386057
Llama_4_Maverick_17B_128E_Instruct_FP8,19,0.9487139925436388,0.03257199363247592
Llama_4_Maverick_17B_128E_Instruct_FP8,20,0.9513697242938811,0.03261906852867509
gpt_5_4_nano_20260317,1,0.6851200822003637,0.0747206708518494
gpt_5_4_nano_20260317,2,0.8575393367204084,0.05493545587839408
gpt_5_4_nano_20260317,3,0.9312671730996857,0.03473972792972282
gpt_5_4_nano_20260317,4,0.9416332827372372,0.034311530570018255
gpt_5_4_nano_20260317,5,0.9552213381949298,0.033208084371079714
gpt_5_4_nano_20260317,6,0.9558004800758966,0.0331764478471719
gpt_5_4_nano_20260317,7,0.9561950948281008,0.03317002018855417
gpt_5_4_nano_20260317,8,0.9565120586027428,0.033170798414496876
gpt_5_4_nano_20260317,9,0.9567852845120501,0.0331737133288833
gpt_5_4_nano_20260317,10,0.9570294532421785,0.03317728283532079
gpt_5_4_nano_20260317,11,0.957251913580848,0.033181013377005145
gpt_5_4_nano_20260317,12,0.9574567911320491,0.03318471493250782
gpt_5_4_nano_20260317,13,0.9576466904800983,0.03318830685909045
gpt_5_4_nano_20260317,14,0.9578234510794831,0.03319175502855637
gpt_5_4_nano_20260317,15,0.9579884952437043,0.03319504796020249
gpt_5_4_nano_20260317,16,0.9581429934765126,0.03319818623138533
gpt_5_4_nano_20260317,17,0.9582879463914125,0.033201177100987925
gpt_5_4_nano_20260317,18,0.9584242279713693,0.03320403147251394
gpt_5_4_nano_20260317,19,0.9585526105794161,0.0332067620440302
gpt_5_4_nano_20260317,20,0.9586737810947947,0.033209382129757194
