model,model_snapshot,algorithm,family,seed_index,rng_seed,true_types,initial_state_id,final_cumulative_regret,matched_seed,source_file
DeepSeek-V3.2,DeepSeek-V3.2,joint_psrl,native,5,5,2|3|0,fixed_hp_spgg_initial_state,0.8999999999999999,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,joint_psrl,native,6,6,1|2|2,fixed_hp_spgg_initial_state,0.5000000000000004,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,joint_psrl,native,7,7,3|2|2,fixed_hp_spgg_initial_state,0.9000000000000012,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,joint_psrl,native,8,8,2|1|0,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,joint_psrl,native,9,9,1|3|3,fixed_hp_spgg_initial_state,2.049999999999998,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,llm_psrl_verbal,native,0,0,3|2|2,fixed_hp_spgg_initial_state,16.550000000000004,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,llm_psrl_verbal,native,1,1,1|2|3,fixed_hp_spgg_initial_state,4.650000000000003,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,llm_psrl_verbal,native,2,2,3|1|0,fixed_hp_spgg_initial_state,14.000000000000004,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,llm_psrl_verbal,native,3,3,3|0|0,fixed_hp_spgg_initial_state,12.600000000000016,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,llm_psrl_verbal,native,4,4,2|3|3,fixed_hp_spgg_initial_state,1.6499999999999995,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,llm_psrl_verbal,native,5,5,2|3|0,fixed_hp_spgg_initial_state,35.94999999999999,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,llm_psrl_verbal,native,6,6,1|2|2,fixed_hp_spgg_initial_state,55.09999999999998,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,llm_psrl_verbal,native,7,7,3|2|2,fixed_hp_spgg_initial_state,16.550000000000004,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,llm_psrl_verbal,native,8,8,2|1|0,fixed_hp_spgg_initial_state,20.950000000000003,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,llm_psrl_verbal,native,9,9,1|3|3,fixed_hp_spgg_initial_state,4.699999999999991,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,psrl_notype,native,0,0,3|2|2,fixed_hp_spgg_initial_state,8.500000000000004,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,psrl_notype,native,1,1,1|2|3,fixed_hp_spgg_initial_state,4.550000000000002,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,psrl_notype,native,2,2,3|1|0,fixed_hp_spgg_initial_state,13.3,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,psrl_notype,native,3,3,3|0|0,fixed_hp_spgg_initial_state,12.050000000000008,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,psrl_notype,native,4,4,2|3|3,fixed_hp_spgg_initial_state,5.349999999999998,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,psrl_notype,native,5,5,2|3|0,fixed_hp_spgg_initial_state,7.15,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,psrl_notype,native,6,6,1|2|2,fixed_hp_spgg_initial_state,4.100000000000001,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,psrl_notype,native,7,7,3|2|2,fixed_hp_spgg_initial_state,15.100000000000003,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,psrl_notype,native,8,8,2|1|0,fixed_hp_spgg_initial_state,6.949999999999999,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,psrl_notype,native,9,9,1|3|3,fixed_hp_spgg_initial_state,4.8499999999999925,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom0,LLM-coordination,0,0,3|2|2,fixed_hp_spgg_initial_state,16.999999999999996,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom0.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom0,LLM-coordination,1,1,1|2|3,fixed_hp_spgg_initial_state,16.999999999999996,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom0.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom0,LLM-coordination,2,2,3|1|0,fixed_hp_spgg_initial_state,11.999999999999996,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom0.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom0,LLM-coordination,3,3,3|0|0,fixed_hp_spgg_initial_state,13.999999999999996,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom0.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom0,LLM-coordination,4,4,2|3|3,fixed_hp_spgg_initial_state,32.99999999999998,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom0.npz
