rho,g,n,m,K,lambda,seed,arm,cum_regret,corr_tv,unelicited_frac,realized_rule_corr,n_llm_calls,belief_entries,belief_bytes,beta,joint_prior,regret_source,harp_harp_s_action_mismatches,harp_harp_s_equal_regret_trace_despite_action_mismatch,joint_true_profile_monotonic,likelihood_mode,joint_alpha,common_random_numbers
0.0,4,8,2,20,0.0,40,joint,1.8400000000000034,0.0,0.7,0.3333333333333333,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,40,harp,1.8400000000000034,0.0,0.7,0.3333333333333333,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,40,harp_s,1.8400000000000034,0.0,0.7,0.3333333333333333,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,41,oracle,0.0,0.0,0.45625,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,41,joint,5.269999999999996,0.0,0.45625,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,41,harp,5.269999999999996,0.0,0.45625,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,41,harp_s,5.269999999999996,0.0,0.45625,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,42,oracle,0.0,0.0,0.63125,0.3333333333333333,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,42,joint,4.630000000000003,0.0,0.63125,0.3333333333333333,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,42,harp,4.630000000000003,0.0,0.63125,0.3333333333333333,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,42,harp_s,4.630000000000003,0.0,0.63125,0.3333333333333333,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,43,oracle,0.0,0.0,0.75625,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,43,joint,5.999999999999993,0.0,0.75625,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,43,harp,5.999999999999993,0.0,0.75625,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,43,harp_s,5.999999999999993,0.0,0.75625,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule,1.0,True
0.0,4,8,2,20,0.0,44,oracle,0.0,0.0,0.63125,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule,1.0,True
