phase,H,n,m,seed,agent,true_type,first_turn,censored,rho_action,first_episode
type_horizon,1,3,4,2040,2,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2041,0,0,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2041,1,3,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2041,2,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2042,0,1,11.0,False,0.07433819726669055,11
type_horizon,1,3,4,2042,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2042,2,0,13.0,False,0.07433819726669055,13
type_horizon,1,3,4,2043,0,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2043,1,0,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2043,2,2,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2044,0,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2044,1,0,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2044,2,1,11.0,False,0.07433819726669055,11
type_horizon,1,3,4,2045,0,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2045,1,1,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2045,2,1,10.0,False,0.07433819726669055,10
type_horizon,1,3,4,2046,0,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2046,1,0,20.0,False,0.07433819726669055,20
type_horizon,1,3,4,2046,2,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2047,0,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2047,1,0,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2047,2,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2048,0,3,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2048,1,1,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2048,2,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2049,0,0,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2049,1,3,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2049,2,3,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2050,0,0,21.0,False,0.07433819726669055,21
type_horizon,1,3,4,2050,1,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2050,2,2,14.0,False,0.07433819726669055,14
type_horizon,1,3,4,2051,0,1,10.0,False,0.07433819726669055,10
type_horizon,1,3,4,2051,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2051,2,0,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2052,0,1,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2052,1,0,14.0,False,0.07433819726669055,14
type_horizon,1,3,4,2052,2,2,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2053,0,3,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2053,1,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2053,2,1,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2054,0,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2054,1,0,6.0,False,0.07433819726669055,6
