model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,live_parse_ok_rate
Kimi-K2.6,live_psrl_notype,5,3.450763333333333,2.8556725612183422,3.0273073588520596,0.0625,0.5,0.725
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_adaptive_hedge,5,3.4990900000000003,2.894039184707998,2.970378490388806,0.0625,0.5,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom0,5,3.2466766666666667,2.966171706304715,2.8022193412251704,0.0625,0.5,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom1,5,3.8611899999999997,2.647873164379282,2.940052487638328,0.0625,0.5,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_econ_bne,5,3.4718133333333334,2.8388094252147256,3.1598971543806003,0.0625,0.5,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_joint_psrl,5,4.042143333333334,2.255275511109219,2.280725653587522,0.44697933269432016,0.8339967825474052,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_belief,5,3.672886666666666,2.59354083316344,2.9566733690367917,0.0625,0.5,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_greedy,5,3.312883333333334,3.035615924832309,2.956834196215656,0.0625,0.5,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_map_greedy,5,3.3546499999999995,2.81079202833818,2.3698195747786945,0.5382561417676589,0.8540363650472219,0.975
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact,5,3.876943333333333,2.76925910884032,2.577589653749007,0.6211691277623747,0.8895974390874868,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,3.3154166666666667,3.024328344909028,2.4908022010751196,0.587445776127957,0.8764209597690975,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_psrl_notype,5,3.426703333333333,3.0022697544186574,2.9161379477863445,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_atom_adaptive_hedge,5,4.141496666666666,2.340428604209672,2.7815279505982735,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_atom_tom0,5,4.27905,2.4281251638706154,2.8667323397040985,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_atom_tom1,5,3.016796666666667,3.3209661897126255,3.4610280199817773,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_econ_bne,5,3.2253700000000003,3.031029114873723,3.1355717959064604,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_joint_psrl,5,3.6746299999999996,2.7096505443611902,2.9451091012074477,0.541797397857113,0.8724994580358241,1.0
gpt-5.4-mini-20260317,live_llm_belief,5,3.2370600000000005,2.7689149407173597,2.9747290736689243,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_llm_greedy,5,3.499146666666667,2.8178439124796886,2.9816088638658917,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_map_greedy,5,3.6814566666666666,2.7363963478197104,2.7015155338110697,0.5829198714682264,0.8654260518090581,1.0
gpt-5.4-mini-20260317,live_pact,5,3.8704233333333335,2.5437519345737205,2.8356230768221056,0.5509375453128553,0.8702740775061433,1.0
gpt-5.4-mini-20260317,live_pact_plus,5,4.066233333333333,2.6502761334299545,2.9557840405581692,0.6262741243057397,0.8746612274784733,1.0
gpt-5.4-mini-20260317,live_psrl_notype,5,3.18016,2.9887866403751078,2.6052241628913064,0.0625,0.5,1.0
