horizon,beta,model,model_label,exploration_cost,exploration_cost_sem,ptrue,ptrue_sem,regret,regret_sem
24,0.1,Kimi-K2.6,Kimi-K2.6,2.9259831292429612,0.4315657712090635,0.3315332035245716,0.05341263059182722,2.3657732567426484,0.6087872104249036
24,0.1,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,2.739160134028387,0.49067389769838027,0.4254183923146824,0.06683639462668206,2.1799796277484913,0.5956171485419145
24,0.25,gpt-5.4-mini-20260317,GPT-5.4-mini,2.7865187586338793,0.50847584260877,0.3926060464356184,0.05575289197688901,2.1087065777401186,0.4737762111277167
24,0.25,DeepSeek-V3.2,DeepSeek-V3.2,2.770506225454891,0.5059664519042751,0.3926058022676745,0.0557527825091789,2.11098894524177,0.47363395153265486
24,0.25,Kimi-K2.6,Kimi-K2.6,3.060666243309517,0.48284498757400185,0.3276152503172535,0.050654300621430795,2.3614653730240893,0.5179717859765499
24,0.25,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,2.9836483107656737,0.4745987637775843,0.428008435983606,0.06553703701961848,2.2664901394791177,0.575759933719316
32,0.0,gpt-5.4-mini-20260317,GPT-5.4-mini,2.386369286322902,0.6270026651262814,0.47793294565972155,0.06994423392289476,3.393576660187267,0.891433051529389
32,0.0,DeepSeek-V3.2,DeepSeek-V3.2,2.385420613551304,0.626326593744986,0.47834082595995187,0.06979329495388799,3.4641077540833605,0.9039124064235278
32,0.0,Kimi-K2.6,Kimi-K2.6,2.074846411438256,0.5132505983924006,0.42446906116390554,0.045319248540029465,2.6471169588398733,0.45443544030289795
32,0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,2.6692349951534546,0.38108194892185954,0.40001217424194213,0.04744410150306285,2.4624409098427322,0.4693789879530455
32,0.1,gpt-5.4-mini-20260317,GPT-5.4-mini,3.4100184861474743,0.4872474645434206,0.3566299668603046,0.049113175552123696,2.5312035660335166,0.679295490297606
32,0.1,DeepSeek-V3.2,DeepSeek-V3.2,3.5600422394384474,0.5356443478271554,0.37736771272884767,0.047160761561660554,2.6385721470388237,0.645805885045939
32,0.1,Kimi-K2.6,Kimi-K2.6,3.5600422394384474,0.5356443478271554,0.37736771272884767,0.047160761561660554,2.6385721470388237,0.645805885045939
32,0.1,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,3.409254285585697,0.6812575593176652,0.4063821157547083,0.06173866404952678,2.0992144362519047,0.5148022744237858
32,0.25,gpt-5.4-mini-20260317,GPT-5.4-mini,3.4858024771291602,0.5766032229812457,0.3599392029536383,0.04561913332185318,2.0500451481749216,0.47392913799491704
32,0.25,DeepSeek-V3.2,DeepSeek-V3.2,3.3486095981264237,0.5578509890000756,0.4088337479704097,0.05701734740227002,2.1193307374130788,0.4739038533514721
32,0.25,Kimi-K2.6,Kimi-K2.6,3.3486095981264237,0.5578509890000756,0.4088337479704097,0.05701734740227002,2.1193307374130788,0.4739038533514721
32,0.25,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,3.678538107036777,0.6348987823899046,0.4150926077257678,0.0634967187165909,2.1592372112417886,0.49347001213358577
8,0.0,gpt-5.4-mini-20260317,GPT-5.4-mini,1.0932053627800955,0.2919723117169491,0.43043159883660403,0.047504096691547024,2.5268738456695106,0.5404680488650656
8,0.0,DeepSeek-V3.2,DeepSeek-V3.2,1.0932053627800955,0.2919723117169491,0.43109422972746403,0.04785245005720863,2.533265304257664,0.5389274793173627
8,0.0,Kimi-K2.6,Kimi-K2.6,1.1057690633911068,0.29503892448937735,0.3867513000308171,0.0762845994507807,2.331573747950307,0.6286561449702829
8,0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,1.1771659984283749,0.14857985037088578,0.3631473816830185,0.04152819028813666,2.0902084544562376,0.2744801734853403
8,0.1,gpt-5.4-mini-20260317,GPT-5.4-mini,1.429362921679475,0.17694220829357585,0.2749730057803428,0.051171704092288134,1.5447362683248511,0.1982634375656407
8,0.1,DeepSeek-V3.2,DeepSeek-V3.2,1.429362921679475,0.17694220829357585,0.2749730057803428,0.051171704092288134,1.5447362683248511,0.1982634375656407
8,0.1,Kimi-K2.6,Kimi-K2.6,1.4668188304594612,0.23432258784004342,0.2931930182977579,0.04544842056123766,1.7118523473344787,0.21373723846284085
8,0.1,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,1.288584356186687,0.18424917786154094,0.29084514170020587,0.060603303960978724,1.7182416505131957,0.32103799326804383
8,0.25,gpt-5.4-mini-20260317,GPT-5.4-mini,1.4510334916520786,0.17729862294653037,0.27670284365120756,0.049873104820684265,1.752505437628587,0.2370150132359191
8,0.25,DeepSeek-V3.2,DeepSeek-V3.2,1.3752761516152012,0.18524982316036517,0.28236757309338884,0.05175504337638825,1.7039970188515106,0.2136165313733893
8,0.25,Kimi-K2.6,Kimi-K2.6,1.3750574025530462,0.11791662826687588,0.2848103825183302,0.04736456807863601,1.7378170163462823,0.23704312680878137
8,0.25,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,1.4165832741072906,0.19520969051850584,0.34402547851415927,0.061579975362215746,1.94441925302321,0.34307095967707135
