horizon,beta,source,model,model_label,reward,reward_sem,regret,regret_sem,ptrue,ptrue_sem,rule_acc,rule_acc_sem,exploration_cost,exploration_cost_sem
16,0.0,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,29.186880000000002,1.284542012151931,2.8195887254368617,0.6264678008174188,0.43560122830942805,0.05053605472333133,0.8106619880381093,0.028029624264505778,1.4413855884291986,0.24878278109427576
16,0.1,exact,DeepSeek-V3.2,DeepSeek-V3.2,29.85319333333333,1.5171571256483474,1.826218496376144,0.2769094623319747,0.32571204734168474,0.04347216477850645,0.757727574435292,0.021839382038006356,1.2611854234939526,0.2312332798895775
16,0.1,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,29.85319333333333,1.5171571256483474,1.826218496376144,0.2769094623319747,0.32571204734168474,0.04347216477850645,0.757727574435292,0.021839382038006356,1.2611854234939526,0.2312332798895775
16,0.1,exact,Kimi-K2.6,Kimi-K2.6,29.85319333333333,1.5171571256483474,1.826218496376144,0.2769094623319747,0.32571204734168474,0.04347216477850645,0.757727574435292,0.021839382038006356,1.2611854234939526,0.2312332798895775
16,0.1,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,29.85319333333333,1.5171571256483474,1.826218496376144,0.2769094623319747,0.32571204734168474,0.04347216477850645,0.757727574435292,0.021839382038006356,1.2611854234939526,0.2312332798895775
16,0.25,exact,DeepSeek-V3.2,DeepSeek-V3.2,30.1493,1.476996347753703,2.111580679582082,0.34874828410502723,0.32067599899481747,0.04306555945977282,0.7490199283709453,0.02307449344460042,1.3624135704703226,0.19953231018591458
16,0.25,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,30.1493,1.476996347753703,2.111580679582082,0.34874828410502723,0.32067599899481747,0.04306555945977282,0.7490199283709453,0.02307449344460042,1.3624135704703226,0.19953231018591458
16,0.25,exact,Kimi-K2.6,Kimi-K2.6,30.1493,1.476996347753703,2.111580679582082,0.34874828410502723,0.32067599899481747,0.04306555945977282,0.7490199283709453,0.02307449344460042,1.3624135704703226,0.19953231018591458
16,0.25,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,30.1493,1.476996347753703,2.111580679582082,0.34874828410502723,0.32067599899481747,0.04306555945977282,0.7490199283709453,0.02307449344460042,1.3624135704703226,0.19953231018591458
16,0.5,exact,DeepSeek-V3.2,DeepSeek-V3.2,29.571656666666666,1.9867402006637238,2.4997602275160533,0.6793169333614772,0.3502217244061535,0.017283434876880915,0.7698642063985064,0.017760335524296046,1.905183276842203,0.3086195001288051
16,0.5,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,29.571656666666666,1.9867402006637238,2.4997602275160533,0.6793169333614772,0.3502217244061535,0.017283434876880915,0.7698642063985064,0.017760335524296046,1.905183276842203,0.3086195001288051
16,0.5,exact,Kimi-K2.6,Kimi-K2.6,29.571656666666666,1.9867402006637238,2.4997602275160533,0.6793169333614772,0.3502217244061535,0.017283434876880915,0.7698642063985064,0.017760335524296046,1.905183276842203,0.3086195001288051
16,0.5,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,29.571656666666666,1.9867402006637238,2.4997602275160533,0.6793169333614772,0.3502217244061535,0.017283434876880915,0.7698642063985064,0.017760335524296046,1.905183276842203,0.3086195001288051
24,0.0,exact,DeepSeek-V3.2,DeepSeek-V3.2,44.74549666666667,2.4501265389170315,3.133993329184562,0.7623430233631724,0.46735814976177464,0.06376095764932653,0.8228734999943166,0.03014935397979106,1.5216707884002376,0.2942365801620022
24,0.0,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,44.74549666666667,2.4501265389170315,3.133993329184562,0.7623430233631724,0.46735814976177464,0.06376095764932653,0.8228734999943166,0.03014935397979106,1.5216707884002376,0.2942365801620022
24,0.0,exact,Kimi-K2.6,Kimi-K2.6,44.74549666666667,2.4501265389170315,3.133993329184562,0.7623430233631724,0.46735814976177464,0.06376095764932653,0.8228734999943166,0.03014935397979106,1.5216707884002376,0.2942365801620022
24,0.0,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,44.74549666666667,2.4501265389170315,3.133993329184562,0.7623430233631724,0.46735814976177464,0.06376095764932653,0.8228734999943166,0.03014935397979106,1.5216707884002376,0.2942365801620022
24,0.1,exact,DeepSeek-V3.2,DeepSeek-V3.2,45.68630999999999,2.5865678801185763,2.4811070407260187,0.5754254671992824,0.34851377393918936,0.052634634442374026,0.765737087136939,0.026378173405382326,1.8473402101425886,0.39486581662167913
24,0.1,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,45.68630999999999,2.5865678801185763,2.4811070407260187,0.5754254671992824,0.34851377393918936,0.052634634442374026,0.765737087136939,0.026378173405382326,1.8473402101425886,0.39486581662167913
24,0.1,exact,Kimi-K2.6,Kimi-K2.6,45.68630999999999,2.5865678801185763,2.4811070407260187,0.5754254671992824,0.34851377393918936,0.052634634442374026,0.765737087136939,0.026378173405382326,1.8473402101425886,0.39486581662167913
24,0.1,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,45.68630999999999,2.5865678801185763,2.4811070407260187,0.5754254671992824,0.34851377393918936,0.052634634442374026,0.765737087136939,0.026378173405382326,1.8473402101425886,0.39486581662167913
24,0.25,exact,DeepSeek-V3.2,DeepSeek-V3.2,45.93243666666666,2.538494813146605,2.1124973423048585,0.4735459473777669,0.3926057728827563,0.05575276933510866,0.7870939155151,0.026813952910870357,1.7462114682242826,0.3872480304604315
24,0.25,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,45.93243666666666,2.538494813146605,2.1124973423048585,0.4735459473777669,0.3926057728827563,0.05575276933510866,0.7870939155151,0.026813952910870357,1.7462114682242826,0.3872480304604315
24,0.25,exact,Kimi-K2.6,Kimi-K2.6,45.93243666666666,2.538494813146605,2.1124973423048585,0.4735459473777669,0.3926057728827563,0.05575276933510866,0.7870939155151,0.026813952910870357,1.7462114682242826,0.3872480304604315
24,0.25,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,45.93243666666666,2.538494813146605,2.1124973423048585,0.4735459473777669,0.3926057728827563,0.05575276933510866,0.7870939155151,0.026813952910870357,1.7462114682242826,0.3872480304604315
24,0.5,exact,DeepSeek-V3.2,DeepSeek-V3.2,45.307826666666664,3.0611194024617494,2.8145590204404596,0.8338052166252224,0.4095776728768884,0.03630516493042622,0.7991988157615959,0.0191553639291154,2.431640896878428,0.42897388872609465
24,0.5,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,45.307826666666664,3.0611194024617494,2.8145590204404596,0.8338052166252224,0.4095776728768884,0.03630516493042622,0.7991988157615959,0.0191553639291154,2.431640896878428,0.42897388872609465
24,0.5,exact,Kimi-K2.6,Kimi-K2.6,45.307826666666664,3.0611194024617494,2.8145590204404596,0.8338052166252224,0.4095776728768884,0.03630516493042622,0.7991988157615959,0.0191553639291154,2.431640896878428,0.42897388872609465
24,0.5,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,45.307826666666664,3.0611194024617494,2.8145590204404596,0.8338052166252224,0.4095776728768884,0.03630516493042622,0.7991988157615959,0.0191553639291154,2.431640896878428,0.42897388872609465
32,0.0,exact,DeepSeek-V3.2,DeepSeek-V3.2,60.601929999999996,3.2937219582504373,3.3934534508777845,0.8914803026427511,0.4779329459287761,0.06994423403603597,0.8271525286618786,0.031173391604831024,1.638000974848539,0.3851956992118334
32,0.0,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,60.601929999999996,3.2937219582504373,3.3934534508777845,0.8914803026427511,0.4779329459287761,0.06994423403603597,0.8271525286618786,0.031173391604831024,1.638000974848539,0.3851956992118334
32,0.0,exact,Kimi-K2.6,Kimi-K2.6,60.601929999999996,3.2937219582504373,3.3934534508777845,0.8914803026427511,0.4779329459287761,0.06994423403603597,0.8271525286618786,0.031173391604831024,1.638000974848539,0.3851956992118334
32,0.0,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,60.601929999999996,3.2937219582504373,3.3934534508777845,0.8914803026427511,0.4779329459287761,0.06994423403603597,0.8271525286618786,0.031173391604831024,1.638000974848539,0.3851956992118334
32,0.1,exact,DeepSeek-V3.2,DeepSeek-V3.2,61.76730666666666,3.63661144909806,2.6384489377293407,0.6458360780474073,0.3773677130278898,0.04716076177291528,0.7848071869898677,0.021538012658177282,1.9026367287986183,0.4274393855824032
32,0.1,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,61.76730666666666,3.63661144909806,2.6384489377293407,0.6458360780474073,0.3773677130278898,0.04716076177291528,0.7848071869898677,0.021538012658177282,1.9026367287986183,0.4274393855824032
32,0.1,exact,Kimi-K2.6,Kimi-K2.6,61.76730666666666,3.63661144909806,2.6384489377293407,0.6458360780474073,0.3773677130278898,0.04716076177291528,0.7848071869898677,0.021538012658177282,1.9026367287986183,0.4274393855824032
32,0.1,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,61.76730666666666,3.63661144909806,2.6384489377293407,0.6458360780474073,0.3773677130278898,0.04716076177291528,0.7848071869898677,0.021538012658177282,1.9026367287986183,0.4274393855824032
32,0.25,exact,DeepSeek-V3.2,DeepSeek-V3.2,62.21357333333333,3.4864524856403487,2.1208391344761672,0.47380926023816494,0.4088337479663896,0.05701734740047564,0.7938354437663409,0.027400239954290213,1.8604719256772935,0.44557027135139715
32,0.25,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,62.21357333333333,3.4864524856403487,2.1208391344761672,0.47380926023816494,0.4088337479663896,0.05701734740047564,0.7938354437663409,0.027400239954290213,1.8604719256772935,0.44557027135139715
32,0.25,exact,Kimi-K2.6,Kimi-K2.6,62.21357333333333,3.4864524856403487,2.1208391344761672,0.47380926023816494,0.4088337479663896,0.05701734740047564,0.7938354437663409,0.027400239954290213,1.8604719256772935,0.44557027135139715
32,0.25,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,62.21357333333333,3.4864524856403487,2.1208391344761672,0.47380926023816494,0.4088337479663896,0.05701734740047564,0.7938354437663409,0.027400239954290213,1.8604719256772935,0.44557027135139715
32,0.5,exact,DeepSeek-V3.2,DeepSeek-V3.2,61.95692666666666,3.6907817304084323,2.331734864819155,0.5045936362973557,0.43550843854860677,0.03733682418707164,0.8119797273594355,0.020407006733583376,2.632400325156772,0.58676190984609
32,0.5,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,61.95692666666666,3.6907817304084323,2.331734864819155,0.5045936362973557,0.43550843854860677,0.03733682418707164,0.8119797273594355,0.020407006733583376,2.632400325156772,0.58676190984609
32,0.5,exact,Kimi-K2.6,Kimi-K2.6,61.95692666666666,3.6907817304084323,2.331734864819155,0.5045936362973557,0.43550843854860677,0.03733682418707164,0.8119797273594355,0.020407006733583376,2.632400325156772,0.58676190984609
32,0.5,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,61.95692666666666,3.6907817304084323,2.331734864819155,0.5045936362973557,0.43550843854860677,0.03733682418707164,0.8119797273594355,0.020407006733583376,2.632400325156772,0.58676190984609
