model,alpha,algorithm,seeds,cumulative_regret_mean,cumulative_regret_sem,posterior_true_mass_mean,posterior_true_mass_sem,posterior_marginal_tv_vs_joint_mean,posterior_marginal_tv_vs_joint_sem,regret_gap_vs_joint,regret_gap_vs_joint_sem
DeepSeek-V3.2-live,2.0,joint_psrl_coupled,10,0.5450000000000003,0.10778493676109213,0.7298350509431553,0.08531896750085774,0.0,0.0,0.0,0.0
DeepSeek-V3.2-live,2.0,pact_factored,10,0.5866666666666671,0.1316045329250471,0.8967624367129771,0.027695461530713183,0.012755076257478588,0.006473259105378476,0.04166666666666674,0.046696419087072984
DeepSeek-V3.2-live,2.0,psrl_notype,10,22.06666666666667,4.9019597995641755,0.015625,0.0,nan,nan,21.52166666666667,4.8118995055852825
DeepSeek-V3.2-live,4.0,joint_psrl_coupled,10,0.46599999999999964,0.10834307648494304,0.6934661340061845,0.09434687148780777,0.0,0.0,0.0,0.0
DeepSeek-V3.2-live,4.0,pact_factored,10,0.5169999999999998,0.13079288121980406,0.8864157811241613,0.03177728610700945,0.017145759796435584,0.004743656217030506,0.051000000000000024,0.10697299763128172
DeepSeek-V3.2-live,4.0,psrl_notype,10,19.929999999999996,4.766105095125138,0.015625,0.0,nan,nan,19.46399999999999,4.702001276052572
analytic-mixed,0.0,joint_psrl_coupled,10,0.0014713978950066098,0.0014713978950066096,0.9995689875712715,0.0004310117110979848,0.0,0.0,0.0,0.0
analytic-mixed,0.0,pact_factored,10,0.0014713978950066098,0.0014713978950066096,0.999856329190423,0.00014367057036686418,8.687520574908664e-16,8.584743374283208e-16,0.0,0.0
analytic-mixed,0.0,psrl_notype,10,0.17725127652738076,0.047795009587082465,0.015625,0.0,nan,nan,0.17577987863237415,0.047436133996778984
analytic-mixed,0.25,joint_psrl_coupled,10,0.04694238986778219,0.030466117139085338,0.9999999994339704,1.0426141790242704e-10,0.0,0.0,0.0,0.0
analytic-mixed,0.25,pact_factored,10,0.04455489989377677,0.03075911142335055,0.9999999997493342,5.994858571140776e-11,8.183455491177802e-11,2.8818957470506164e-11,-0.002387489974005419,0.0023874899740054184
analytic-mixed,0.25,psrl_notype,10,0.5054220550435827,0.1345178303965545,0.015625,0.0,nan,nan,0.45847966517580047,0.11768617539712446
analytic-mixed,0.5,joint_psrl_coupled,10,0.048941970413054724,0.027806367533842708,0.9999875859680294,1.2290616004899565e-05,0.0,0.0,0.0,0.0
analytic-mixed,0.5,pact_factored,10,0.04880982318547167,0.027813795206158322,0.9999958708079524,4.09784827653903e-06,9.109846886325258e-09,3.986006440198468e-09,-0.00013214722758305708,0.00013214722758305708
analytic-mixed,0.5,psrl_notype,10,2.4470792788270943,0.49271122785650207,0.015625,0.0,nan,nan,2.3981373084140403,0.48225206142610055
analytic-mixed,1.0,joint_psrl_coupled,10,0.20606256229086856,0.08744968021284215,0.9996546898381737,0.0002593329395827064,0.0,0.0,0.0,0.0
analytic-mixed,1.0,pact_factored,10,0.1551222536989059,0.0645384284323057,0.9998822032130164,9.553661351768699e-05,1.490997239702182e-05,8.604522929584904e-06,-0.050940308591962635,0.050940308591962635
analytic-mixed,1.0,psrl_notype,10,7.038527721932549,0.9514028966480037,0.015625,0.0,nan,nan,6.832465159641681,0.8874720461328425
analytic-mixed,2.0,joint_psrl_coupled,10,0.20312434550937758,0.06534972850867325,0.9807741399059514,0.008512393857957518,0.0,0.0,0.0,0.0
analytic-mixed,2.0,pact_factored,10,0.21197047589374235,0.06421398334797367,0.9942230331805586,0.0029162800150764456,0.000958545497485834,0.0004493194970373408,0.008846130384364792,0.00884613038436479
analytic-mixed,2.0,psrl_notype,10,8.082532801025458,0.6311333585217739,0.015625,0.0,nan,nan,7.879408455516081,0.5821611994117399
analytic-mixed,4.0,joint_psrl_coupled,10,0.2125082387048466,0.056930384681879956,0.8497175013510407,0.03172344828052037,0.0,0.0,0.0,0.0
analytic-mixed,4.0,pact_factored,10,0.19921420332885634,0.05709750890886788,0.9553025494725731,0.011120965570054184,0.007058491677613128,0.0025374285782492328,-0.013294035375990276,0.013294035375990276
analytic-mixed,4.0,psrl_notype,10,8.391421278742657,0.7899496816210057,0.015625,0.0,nan,nan,8.17891304003781,0.7648753360610319
