model,alpha,seed,algorithm,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,chosen_welfare,oracle_welfare,posterior_true_mass,posterior_marginal_tv_vs_joint,true_types
analytic-mixed,0.0,40000,pact_factored,73,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999999867,2.571076498587128e-25,3|2|3
analytic-mixed,0.0,40000,pact_factored,74,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999999911,1.7081468134385645e-25,3|2|3
analytic-mixed,0.0,40000,pact_factored,75,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999999942,1.134634417197486e-25,3|2|3
analytic-mixed,0.0,40000,pact_factored,76,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999999961,7.535488615669686e-26,3|2|3
analytic-mixed,0.0,40000,pact_factored,77,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999999977,1.8503717127122865e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,78,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999999983,3.3219590102944493e-26,3|2|3
analytic-mixed,0.0,40000,pact_factored,79,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.999999999999999,1.8503717099137038e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,80,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999999994,1.8503717091720957e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,81,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999999996,5.551115124096936e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,82,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999999997,5.551115123770124e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,83,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999999997,3.7007434158446344e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,84,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999999999,3.7007434157007086e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,85,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,1.880291054099762e-27,3|2|3
analytic-mixed,0.0,40000,pact_factored,86,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,3.7007434155418714e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,87,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,8.26660490262852e-28,3|2|3
analytic-mixed,0.0,40000,pact_factored,88,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,5.480138644209956e-28,3|2|3
analytic-mixed,0.0,40000,pact_factored,89,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,3.632447677883508e-28,3|2|3
analytic-mixed,0.0,40000,pact_factored,90,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,2.407432973736785e-28,3|2|3
analytic-mixed,0.0,40000,pact_factored,91,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,1.5953427854798706e-28,3|2|3
analytic-mixed,0.0,40000,pact_factored,92,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,1.0570633413697857e-28,3|2|3
analytic-mixed,0.0,40000,pact_factored,93,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,7.003194859110493e-29,3|2|3
analytic-mixed,0.0,40000,pact_factored,94,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,4.639180050039974e-29,3|2|3
analytic-mixed,0.0,40000,pact_factored,95,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,3.072821226269835e-29,3|2|3
analytic-mixed,0.0,40000,pact_factored,96,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,2.035104493168067e-29,3|2|3
analytic-mixed,0.0,40000,pact_factored,97,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,1.3476855280011714e-29,3|2|3
