backbone,excluded_persona,variant,seed,cumulative_regret_k20,in_library_reference_regret_k20,regret_degradation,final_entropy,argmax_persona,entropy_trajectory,status
analytic_mixed,risk_averse_balancer,pact,0,0.0,0.0,0.0,0.003279088366227568,conditional_cooperator|free_rider|conditional_cooperator,0.931931016;0.656170897;0.436069245;0.291715464;0.203229131;0.148078475;0.111495718;0.085507168;0.066077002;0.051122091;0.039467526;0.030360983;0.023261732;0.017751599;0.013496295;0.010226282;0.007724922;0.005819426;0.004373184;0.003279088,completed_offline_outcome_likelihood
analytic_mixed,risk_averse_balancer,pact,1,0.0,0.0,0.0,0.003279088366227568,conditional_cooperator|free_rider|conditional_cooperator,0.931931016;0.656170897;0.436069245;0.291715464;0.203229131;0.148078475;0.111495718;0.085507168;0.066077002;0.051122091;0.039467526;0.030360983;0.023261732;0.017751599;0.013496295;0.010226282;0.007724922;0.005819426;0.004373184;0.003279088,completed_offline_outcome_likelihood
analytic_mixed,risk_averse_balancer,pact,2,0.0,0.0,0.0,0.003279088366227568,conditional_cooperator|free_rider|conditional_cooperator,0.931931016;0.656170897;0.436069245;0.291715464;0.203229131;0.148078475;0.111495718;0.085507168;0.066077002;0.051122091;0.039467526;0.030360983;0.023261732;0.017751599;0.013496295;0.010226282;0.007724922;0.005819426;0.004373184;0.003279088,completed_offline_outcome_likelihood
analytic_mixed,risk_averse_balancer,pact,3,0.0,0.0,0.0,0.003279088366227568,conditional_cooperator|free_rider|conditional_cooperator,0.931931016;0.656170897;0.436069245;0.291715464;0.203229131;0.148078475;0.111495718;0.085507168;0.066077002;0.051122091;0.039467526;0.030360983;0.023261732;0.017751599;0.013496295;0.010226282;0.007724922;0.005819426;0.004373184;0.003279088,completed_offline_outcome_likelihood
analytic_mixed,risk_averse_balancer,pact,4,0.0,0.0,0.0,0.003279088366227568,conditional_cooperator|free_rider|conditional_cooperator,0.931931016;0.656170897;0.436069245;0.291715464;0.203229131;0.148078475;0.111495718;0.085507168;0.066077002;0.051122091;0.039467526;0.030360983;0.023261732;0.017751599;0.013496295;0.010226282;0.007724922;0.005819426;0.004373184;0.003279088,completed_offline_outcome_likelihood
analytic_mixed,risk_averse_balancer,pact_plus,0,0.0,0.0,0.0,0.003279088366227568,conditional_cooperator|free_rider|conditional_cooperator,0.931931016;0.656170897;0.436069245;0.291715464;0.203229131;0.148078475;0.111495718;0.085507168;0.066077002;0.051122091;0.039467526;0.030360983;0.023261732;0.017751599;0.013496295;0.010226282;0.007724922;0.005819426;0.004373184;0.003279088,completed_offline_outcome_likelihood
analytic_mixed,risk_averse_balancer,pact_plus,1,0.0,0.0,0.0,0.003279088366227568,conditional_cooperator|free_rider|conditional_cooperator,0.931931016;0.656170897;0.436069245;0.291715464;0.203229131;0.148078475;0.111495718;0.085507168;0.066077002;0.051122091;0.039467526;0.030360983;0.023261732;0.017751599;0.013496295;0.010226282;0.007724922;0.005819426;0.004373184;0.003279088,completed_offline_outcome_likelihood
analytic_mixed,risk_averse_balancer,pact_plus,2,0.0,0.0,0.0,0.003279088366227568,conditional_cooperator|free_rider|conditional_cooperator,0.931931016;0.656170897;0.436069245;0.291715464;0.203229131;0.148078475;0.111495718;0.085507168;0.066077002;0.051122091;0.039467526;0.030360983;0.023261732;0.017751599;0.013496295;0.010226282;0.007724922;0.005819426;0.004373184;0.003279088,completed_offline_outcome_likelihood
analytic_mixed,risk_averse_balancer,pact_plus,3,0.0,0.0,0.0,0.003279088366227568,conditional_cooperator|free_rider|conditional_cooperator,0.931931016;0.656170897;0.436069245;0.291715464;0.203229131;0.148078475;0.111495718;0.085507168;0.066077002;0.051122091;0.039467526;0.030360983;0.023261732;0.017751599;0.013496295;0.010226282;0.007724922;0.005819426;0.004373184;0.003279088,completed_offline_outcome_likelihood
analytic_mixed,risk_averse_balancer,pact_plus,4,0.0,0.0,0.0,0.003279088366227568,conditional_cooperator|free_rider|conditional_cooperator,0.931931016;0.656170897;0.436069245;0.291715464;0.203229131;0.148078475;0.111495718;0.085507168;0.066077002;0.051122091;0.039467526;0.030360983;0.023261732;0.017751599;0.013496295;0.010226282;0.007724922;0.005819426;0.004373184;0.003279088,completed_offline_outcome_likelihood
