method,config,seed,episode,cum_regret
atom_tom1,pub/london_mini,1000,3,0.0
atom_tom1,pub/london_mini,1000,4,0.0
atom_tom1,pub/london_mini,1000,5,0.0
atom_tom1,pub/london_mini,1000,6,0.0
atom_tom1,pub/london_mini,1000,7,0.0
atom_tom1,pub/london_mini,1000,8,0.0
atom_tom1,pub/london_mini,1000,9,0.0
atom_tom1,pub/london_mini,1000,10,0.0
atom_tom1,pub/london_mini,1000,11,0.0
atom_tom1,pub/london_mini,1000,12,0.0
atom_tom1,pub/london_mini,1000,13,0.0
atom_tom1,pub/london_mini,1000,14,0.0
atom_tom1,pub/london_mini,1000,15,0.0
atom_tom1,pub/london_mini,1000,16,0.0
atom_tom1,pub/london_mini,1000,17,0.0
atom_tom1,pub/london_mini,1000,18,0.0
atom_tom1,pub/london_mini,1000,19,0.0
atom_tom1,pub/london_mini,1000,20,0.0
random,pub/london_mini,1000,1,1.2259259259259259
random,pub/london_mini,1000,2,2.474074074074074
random,pub/london_mini,1000,3,3.911111111111111
random,pub/london_mini,1000,4,5.348148148148148
random,pub/london_mini,1000,5,6.5962962962962965
random,pub/london_mini,1000,6,8.033333333333333
random,pub/london_mini,1000,7,8.033333333333333
random,pub/london_mini,1000,8,9.47037037037037
random,pub/london_mini,1000,9,10.718518518518518
random,pub/london_mini,1000,10,10.718518518518518
random,pub/london_mini,1000,11,11.944444444444445
random,pub/london_mini,1000,12,13.170370370370371
random,pub/london_mini,1000,13,14.396296296296297
random,pub/london_mini,1000,14,15.833333333333334
random,pub/london_mini,1000,15,17.270370370370372
random,pub/london_mini,1000,16,18.51851851851852
random,pub/london_mini,1000,17,19.744444444444444
random,pub/london_mini,1000,18,21.18148148148148
random,pub/london_mini,1000,19,22.618518518518517
random,pub/london_mini,1000,20,22.618518518518517
pact,haggling/fruitville,1000,1,0.156521739130435
pact,haggling/fruitville,1000,2,0.156521739130435
pact,haggling/fruitville,1000,3,0.156521739130435
pact,haggling/fruitville,1000,4,0.33913043478260896
pact,haggling/fruitville,1000,5,0.33913043478260896
pact,haggling/fruitville,1000,6,0.33913043478260896
pact,haggling/fruitville,1000,7,0.33913043478260896
pact,haggling/fruitville,1000,8,0.33913043478260896
pact,haggling/fruitville,1000,9,0.33913043478260896
pact,haggling/fruitville,1000,10,0.33913043478260896
pact,haggling/fruitville,1000,11,0.33913043478260896
pact,haggling/fruitville,1000,12,0.33913043478260896
pact,haggling/fruitville,1000,13,0.33913043478260896
pact,haggling/fruitville,1000,14,0.33913043478260896
pact,haggling/fruitville,1000,15,0.33913043478260896
pact,haggling/fruitville,1000,16,0.33913043478260896
pact,haggling/fruitville,1000,17,0.33913043478260896
pact,haggling/fruitville,1000,18,0.33913043478260896
pact,haggling/fruitville,1000,19,0.49565217391304395
pact,haggling/fruitville,1000,20,0.49565217391304395
pact_plus,haggling/fruitville,1000,1,0.156521739130435
pact_plus,haggling/fruitville,1000,2,0.156521739130435
pact_plus,haggling/fruitville,1000,3,0.156521739130435
pact_plus,haggling/fruitville,1000,4,0.33913043478260896
pact_plus,haggling/fruitville,1000,5,0.33913043478260896
pact_plus,haggling/fruitville,1000,6,0.33913043478260896
pact_plus,haggling/fruitville,1000,7,0.33913043478260896
pact_plus,haggling/fruitville,1000,8,0.33913043478260896
pact_plus,haggling/fruitville,1000,9,0.33913043478260896
pact_plus,haggling/fruitville,1000,10,0.33913043478260896
pact_plus,haggling/fruitville,1000,11,0.33913043478260896
pact_plus,haggling/fruitville,1000,12,0.33913043478260896
pact_plus,haggling/fruitville,1000,13,0.33913043478260896
pact_plus,haggling/fruitville,1000,14,0.33913043478260896
pact_plus,haggling/fruitville,1000,15,0.33913043478260896
pact_plus,haggling/fruitville,1000,16,0.33913043478260896
pact_plus,haggling/fruitville,1000,17,0.33913043478260896
pact_plus,haggling/fruitville,1000,18,0.33913043478260896
pact_plus,haggling/fruitville,1000,19,0.49565217391304395
pact_plus,haggling/fruitville,1000,20,0.49565217391304395
joint_psrl_uniform,haggling/fruitville,1000,1,0.156521739130435
joint_psrl_uniform,haggling/fruitville,1000,2,0.156521739130435
joint_psrl_uniform,haggling/fruitville,1000,3,0.33913043478260896
joint_psrl_uniform,haggling/fruitville,1000,4,0.33913043478260896
joint_psrl_uniform,haggling/fruitville,1000,5,0.33913043478260896
joint_psrl_uniform,haggling/fruitville,1000,6,0.33913043478260896
joint_psrl_uniform,haggling/fruitville,1000,7,0.33913043478260896
joint_psrl_uniform,haggling/fruitville,1000,8,0.33913043478260896
joint_psrl_uniform,haggling/fruitville,1000,9,0.33913043478260896
joint_psrl_uniform,haggling/fruitville,1000,10,0.33913043478260896
joint_psrl_uniform,haggling/fruitville,1000,11,0.33913043478260896
joint_psrl_uniform,haggling/fruitville,1000,12,0.33913043478260896
joint_psrl_uniform,haggling/fruitville,1000,13,0.49565217391304395
joint_psrl_uniform,haggling/fruitville,1000,14,0.49565217391304395
joint_psrl_uniform,haggling/fruitville,1000,15,0.49565217391304395
joint_psrl_uniform,haggling/fruitville,1000,16,0.49565217391304395
joint_psrl_uniform,haggling/fruitville,1000,17,0.49565217391304395
joint_psrl_uniform,haggling/fruitville,1000,18,0.49565217391304395
joint_psrl_uniform,haggling/fruitville,1000,19,0.49565217391304395
joint_psrl_uniform,haggling/fruitville,1000,20,0.49565217391304395
psrl_notype,haggling/fruitville,1000,1,0.0
psrl_notype,haggling/fruitville,1000,2,0.156521739130435
psrl_notype,haggling/fruitville,1000,3,0.31304347826087
psrl_notype,haggling/fruitville,1000,4,0.31304347826087
psrl_notype,haggling/fruitville,1000,5,0.31304347826087
psrl_notype,haggling/fruitville,1000,6,0.31304347826087
psrl_notype,haggling/fruitville,1000,7,0.31304347826087
psrl_notype,haggling/fruitville,1000,8,0.46956521739130497
psrl_notype,haggling/fruitville,1000,9,0.46956521739130497
psrl_notype,haggling/fruitville,1000,10,0.46956521739130497
psrl_notype,haggling/fruitville,1000,11,0.62608695652174
psrl_notype,haggling/fruitville,1000,12,0.782608695652175
psrl_notype,haggling/fruitville,1000,13,0.9652173913043489
psrl_notype,haggling/fruitville,1000,14,1.121739130434784
psrl_notype,haggling/fruitville,1000,15,1.121739130434784
psrl_notype,haggling/fruitville,1000,16,1.121739130434784
psrl_notype,haggling/fruitville,1000,17,1.121739130434784
psrl_notype,haggling/fruitville,1000,18,1.278260869565219
psrl_notype,haggling/fruitville,1000,19,1.278260869565219
psrl_notype,haggling/fruitville,1000,20,1.278260869565219
map_type_greedy,haggling/fruitville,1000,1,0.156521739130435
map_type_greedy,haggling/fruitville,1000,2,0.156521739130435
map_type_greedy,haggling/fruitville,1000,3,0.156521739130435
map_type_greedy,haggling/fruitville,1000,4,0.156521739130435
map_type_greedy,haggling/fruitville,1000,5,0.156521739130435
map_type_greedy,haggling/fruitville,1000,6,0.156521739130435
map_type_greedy,haggling/fruitville,1000,7,0.156521739130435
map_type_greedy,haggling/fruitville,1000,8,0.156521739130435
map_type_greedy,haggling/fruitville,1000,9,0.156521739130435
map_type_greedy,haggling/fruitville,1000,10,0.156521739130435
map_type_greedy,haggling/fruitville,1000,11,0.156521739130435
map_type_greedy,haggling/fruitville,1000,12,0.156521739130435
map_type_greedy,haggling/fruitville,1000,13,0.156521739130435
map_type_greedy,haggling/fruitville,1000,14,0.156521739130435
map_type_greedy,haggling/fruitville,1000,15,0.156521739130435
map_type_greedy,haggling/fruitville,1000,16,0.156521739130435
map_type_greedy,haggling/fruitville,1000,17,0.156521739130435
map_type_greedy,haggling/fruitville,1000,18,0.156521739130435
map_type_greedy,haggling/fruitville,1000,19,0.156521739130435
map_type_greedy,haggling/fruitville,1000,20,0.156521739130435
econ_bne,haggling/fruitville,1000,1,0.060869565217391175
econ_bne,haggling/fruitville,1000,2,0.12173913043478235
econ_bne,haggling/fruitville,1000,3,0.18260869565217352
econ_bne,haggling/fruitville,1000,4,0.2434782608695647
econ_bne,haggling/fruitville,1000,5,0.3043478260869559
econ_bne,haggling/fruitville,1000,6,0.36521739130434705
econ_bne,haggling/fruitville,1000,7,0.4260869565217382
econ_bne,haggling/fruitville,1000,8,0.4869565217391294
econ_bne,haggling/fruitville,1000,9,0.5478260869565206
econ_bne,haggling/fruitville,1000,10,0.6086956521739117
econ_bne,haggling/fruitville,1000,11,0.6695652173913029
econ_bne,haggling/fruitville,1000,12,0.7304347826086941
econ_bne,haggling/fruitville,1000,13,0.7913043478260853
econ_bne,haggling/fruitville,1000,14,0.8521739130434764
econ_bne,haggling/fruitville,1000,15,0.9130434782608676
econ_bne,haggling/fruitville,1000,16,0.9739130434782588
econ_bne,haggling/fruitville,1000,17,1.03478260869565
econ_bne,haggling/fruitville,1000,18,1.0956521739130411
econ_bne,haggling/fruitville,1000,19,1.1565217391304323
econ_bne,haggling/fruitville,1000,20,1.2173913043478235
atom_tom1,haggling/fruitville,1000,1,0.12173913043478257
atom_tom1,haggling/fruitville,1000,2,0.24347826086956514
atom_tom1,haggling/fruitville,1000,3,0.3652173913043477
atom_tom1,haggling/fruitville,1000,4,0.4869565217391303
atom_tom1,haggling/fruitville,1000,5,0.6086956521739129
atom_tom1,haggling/fruitville,1000,6,0.7304347826086954
atom_tom1,haggling/fruitville,1000,7,0.852173913043478
atom_tom1,haggling/fruitville,1000,8,0.9739130434782606
atom_tom1,haggling/fruitville,1000,9,1.0956521739130431
atom_tom1,haggling/fruitville,1000,10,1.2173913043478257
atom_tom1,haggling/fruitville,1000,11,1.3391304347826083
atom_tom1,haggling/fruitville,1000,12,1.4608695652173909
atom_tom1,haggling/fruitville,1000,13,1.5826086956521734
atom_tom1,haggling/fruitville,1000,14,1.704347826086956
atom_tom1,haggling/fruitville,1000,15,1.8260869565217386
atom_tom1,haggling/fruitville,1000,16,1.9478260869565212
atom_tom1,haggling/fruitville,1000,17,2.069565217391304
atom_tom1,haggling/fruitville,1000,18,2.1913043478260867
atom_tom1,haggling/fruitville,1000,19,2.3130434782608695
atom_tom1,haggling/fruitville,1000,20,2.4347826086956523
random,haggling/fruitville,1000,1,0.12173913043478257
random,haggling/fruitville,1000,2,0.18260869565217375
random,haggling/fruitville,1000,3,1.017391304347826
random,haggling/fruitville,1000,4,1.017391304347826
random,haggling/fruitville,1000,5,1.8521739130434782
random,haggling/fruitville,1000,6,1.8521739130434782
random,haggling/fruitville,1000,7,2.6869565217391305
random,haggling/fruitville,1000,8,3.5217391304347827
random,haggling/fruitville,1000,9,4.356521739130435
random,haggling/fruitville,1000,10,5.191304347826087
random,haggling/fruitville,1000,11,6.026086956521739
random,haggling/fruitville,1000,12,6.860869565217392
random,haggling/fruitville,1000,13,7.695652173913045
random,haggling/fruitville,1000,14,8.530434782608697
random,haggling/fruitville,1000,15,8.686956521739132
random,haggling/fruitville,1000,16,9.521739130434785
random,haggling/fruitville,1000,17,10.356521739130438
random,haggling/fruitville,1000,18,11.19130434782609
random,haggling/fruitville,1000,19,11.347826086956525
random,haggling/fruitville,1000,20,11.5304347826087
pact,haggling/vegbrooke,1000,1,0.5095607235142121
pact,haggling/vegbrooke,1000,2,0.5095607235142121
pact,haggling/vegbrooke,1000,3,0.5095607235142121
pact,haggling/vegbrooke,1000,4,0.8222222222222224
pact,haggling/vegbrooke,1000,5,0.8222222222222224
pact,haggling/vegbrooke,1000,6,0.8222222222222224
pact,haggling/vegbrooke,1000,7,0.8222222222222224
pact,haggling/vegbrooke,1000,8,0.8222222222222224
pact,haggling/vegbrooke,1000,9,0.8222222222222224
pact,haggling/vegbrooke,1000,10,0.8222222222222224
pact,haggling/vegbrooke,1000,11,0.8222222222222224
pact,haggling/vegbrooke,1000,12,0.8222222222222224
pact,haggling/vegbrooke,1000,13,0.8222222222222224
pact,haggling/vegbrooke,1000,14,0.8222222222222224
pact,haggling/vegbrooke,1000,15,0.8222222222222224
pact,haggling/vegbrooke,1000,16,0.8222222222222224
pact,haggling/vegbrooke,1000,17,0.8222222222222224
pact,haggling/vegbrooke,1000,18,0.8222222222222224
pact,haggling/vegbrooke,1000,19,0.8222222222222224
pact,haggling/vegbrooke,1000,20,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,1,0.5095607235142121
pact_plus,haggling/vegbrooke,1000,2,0.5095607235142121
pact_plus,haggling/vegbrooke,1000,3,0.5095607235142121
pact_plus,haggling/vegbrooke,1000,4,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,5,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,6,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,7,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,8,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,9,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,10,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,11,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,12,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,13,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,14,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,15,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,16,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,17,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,18,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,19,0.8222222222222224
pact_plus,haggling/vegbrooke,1000,20,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,1,0.0
joint_psrl_uniform,haggling/vegbrooke,1000,2,0.5095607235142121
joint_psrl_uniform,haggling/vegbrooke,1000,3,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,4,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,5,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,6,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,7,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,8,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,9,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,10,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,11,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,12,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,13,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,14,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,15,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,16,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,17,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,18,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,19,0.8222222222222224
joint_psrl_uniform,haggling/vegbrooke,1000,20,0.8222222222222224
psrl_notype,haggling/vegbrooke,1000,1,0.0
psrl_notype,haggling/vegbrooke,1000,2,0.0
psrl_notype,haggling/vegbrooke,1000,3,0.0
psrl_notype,haggling/vegbrooke,1000,4,0.0
psrl_notype,haggling/vegbrooke,1000,5,0.0
psrl_notype,haggling/vegbrooke,1000,6,0.0
psrl_notype,haggling/vegbrooke,1000,7,0.0
psrl_notype,haggling/vegbrooke,1000,8,0.0
psrl_notype,haggling/vegbrooke,1000,9,0.0
psrl_notype,haggling/vegbrooke,1000,10,0.0
psrl_notype,haggling/vegbrooke,1000,11,0.0
